ad_campaign_id,ad_campaign_name,ad_account_id,channel_id,objective,budget,start_date,end_date,status
ADC00001,拉新计划001,AA0201,CH04,七日留存,88175,2026-04-29,2026-07-01,completed
ADC00002,拉新计划002,AA0202,CH04,注册,125679,2026-02-04,2026-05-04,completed
ADC00003,拉新计划003,AA0402,CH06,注册,31079,2026-03-21,2026-05-31,completed
ADC00004,拉新计划004,AA0401,CH06,注册,127554,2026-02-13,2026-03-20,completed
ADC00005,拉新计划005,AA0402,CH06,激活,55969,2026-02-24,2026-05-13,completed
ADC00006,拉新计划006,AA0301,CH05,激活,247276,2026-04-02,2026-05-18,completed
ADC00007,拉新计划007,AA0101,CH03,注册,46043,2026-05-09,2026-06-27,completed
ADC00008,拉新计划008,AA0101,CH03,注册,47633,2026-01-23,2026-04-18,completed
ADC00009,拉新计划009,AA0302,CH05,七日留存,248217,2026-03-09,2026-05-15,completed
ADC00010,拉新计划010,AA0402,CH06,注册,166048,2026-05-07,2026-07-24,completed
ADC00011,拉新计划011,AA0401,CH06,注册,182749,2026-02-25,2026-05-22,completed
ADC00012,拉新计划012,AA0201,CH04,七日留存,79511,2026-03-06,2026-04-15,completed
ADC00013,拉新计划013,AA0202,CH04,七日留存,189759,2026-03-07,2026-06-04,completed
ADC00014,拉新计划014,AA0201,CH04,注册,45041,2026-02-15,2026-04-09,completed
ADC00015,拉新计划015,AA0201,CH04,七日留存,258566,2026-01-18,2026-03-19,completed
ADC00016,拉新计划016,AA0101,CH03,激活,138797,2026-01-21,2026-04-21,completed
ADC00017,拉新计划017,AA0401,CH06,注册,60551,2026-02-20,2026-04-08,completed
ADC00018,拉新计划018,AA0202,CH04,激活,73557,2026-04-20,2026-06-01,completed
ADC00019,拉新计划019,AA0101,CH03,激活,241679,2026-06-09,2026-08-10,completed
ADC00020,拉新计划020,AA0302,CH05,激活,181763,2026-03-13,2026-05-15,completed
ADC00021,拉新计划021,AA0301,CH05,注册,100866,2026-03-30,2026-06-03,completed
ADC00022,拉新计划022,AA0101,CH03,激活,114853,2026-05-22,2026-07-04,completed
ADC00023,拉新计划023,AA0202,CH04,激活,191468,2026-05-18,2026-07-14,completed
ADC00024,拉新计划024,AA0402,CH06,激活,81180,2026-03-22,2026-04-19,completed
ADC00025,拉新计划025,AA0401,CH06,注册,173049,2026-06-14,2026-08-08,completed
