attribution_id,user_id,channel_id,ad_campaign_id,attribution_type,attributed_at,confidence_score
ATTR00000001,U0000001,CH03,ADC00091,last_click,2026-08-23 06:37:01,0.6655
ATTR00000002,U0000009,CH04,ADC00027,last_click,2026-07-09 08:30:43,0.8653
ATTR00000003,U0000010,CH05,ADC00059,view_through,2026-08-06 02:05:12,0.6999
ATTR00000004,U0000011,CH03,ADC00071,last_click,2026-01-30 18:37:40,0.9741
ATTR00000005,U0000012,CH04,ADC00054,last_click,2026-01-08 16:36:56,0.8495
ATTR00000006,U0000013,CH04,ADC00054,last_click,2026-01-09 17:46:37,0.9601
ATTR00000007,U0000015,CH05,ADC00072,view_through,2026-06-06 09:19:50,0.7464
ATTR00000008,U0000020,CH05,ADC00072,first_click,2026-06-30 15:19:09,0.8028
ATTR00000009,U0000021,CH03,ADC00008,view_through,2026-03-30 18:16:30,0.797
ATTR00000010,U0000023,CH05,ADC00021,last_click,2026-05-04 14:10:56,0.6878
ATTR00000011,U0000024,CH03,ADC00016,last_click,2026-02-15 02:24:07,0.9761
ATTR00000012,U0000026,CH03,ADC00091,view_through,2026-08-19 07:28:56,0.8417
ATTR00000013,U0000028,CH06,ADC00067,first_click,2026-04-20 02:14:54,0.9016
ATTR00000014,U0000032,CH03,ADC00090,first_click,2026-06-24 00:10:57,0.7105
ATTR00000015,U0000033,CH03,ADC00085,last_click,2026-02-10 15:32:28,0.9235
ATTR00000016,U0000037,CH03,ADC00091,first_click,2026-07-31 13:26:42,0.673
ATTR00000017,U0000039,CH04,ADC00056,last_click,2026-03-03 14:58:13,0.9325
ATTR00000018,U0000044,CH03,ADC00085,first_click,2026-03-30 02:03:24,0.9108
ATTR00000019,U0000045,CH05,ADC00047,first_click,2026-01-11 19:36:27,0.7555
ATTR00000020,U0000047,CH04,ADC00041,last_click,2026-08-02 22:08:17,0.8289
ATTR00000021,U0000050,CH05,ADC00076,last_click,2026-02-18 19:51:30,0.7184
ATTR00000022,U0000054,CH04,ADC00066,last_click,2026-05-07 07:21:11,0.6879
ATTR00000023,U0000057,CH04,ADC00015,last_click,2026-02-02 13:44:56,0.6279
ATTR00000024,U0000058,CH03,ADC00071,last_click,2026-01-17 05:42:38,0.7385
ATTR00000025,U0000063,CH04,ADC00084,last_click,2026-04-25 20:17:39,0.6915
ATTR00000026,U0000064,CH03,ADC00016,last_click,2026-01-29 12:22:11,0.9477
ATTR00000027,U0000065,CH05,ADC00047,last_click,2026-01-09 09:07:14,0.8383
