conversion_event_id,user_id,channel_id,ad_campaign_id,conversion_type,converted_at,conversion_value
CE000000001,U0000001,CH03,ADC00091,registration,2026-08-23 08:40:01,1
CE000000002,U0000001,CH03,ADC00091,activation,2026-08-23 07:20:01,1
CE000000003,U0000009,CH04,ADC00027,registration,2026-07-09 09:34:43,1
CE000000004,U0000010,CH05,ADC00059,registration,2026-08-06 02:53:12,1
CE000000005,U0000010,CH05,ADC00059,activation,2026-08-06 07:02:12,1
CE000000006,U0000011,CH03,ADC00071,registration,2026-01-30 20:19:40,1
CE000000007,U0000012,CH04,ADC00054,registration,2026-01-08 22:22:56,1
CE000000008,U0000012,CH04,ADC00054,activation,2026-01-08 20:46:56,1
CE000000009,U0000013,CH04,ADC00054,registration,2026-01-09 21:02:37,1
CE000000010,U0000013,CH04,ADC00054,activation,2026-01-09 21:08:37,1
CE000000011,U0000015,CH05,ADC00072,registration,2026-06-06 13:39:50,1
CE000000012,U0000015,CH05,ADC00072,activation,2026-06-06 10:16:50,1
CE000000013,U0000020,CH05,ADC00072,registration,2026-06-30 20:56:09,1
CE000000014,U0000021,CH03,ADC00008,registration,2026-03-30 22:33:30,1
CE000000015,U0000021,CH03,ADC00008,activation,2026-03-30 19:29:30,1
CE000000016,U0000023,CH05,ADC00021,registration,2026-05-04 17:46:56,1
CE000000017,U0000023,CH05,ADC00021,activation,2026-05-04 15:01:56,1
CE000000018,U0000024,CH03,ADC00016,registration,2026-02-15 02:45:07,1
CE000000019,U0000026,CH03,ADC00091,registration,2026-08-19 10:06:56,1
CE000000020,U0000026,CH03,ADC00091,activation,2026-08-19 13:24:56,1
CE000000021,U0000028,CH06,ADC00067,registration,2026-04-20 05:57:54,1
CE000000022,U0000028,CH06,ADC00067,activation,2026-04-20 06:29:54,1
CE000000023,U0000032,CH03,ADC00090,registration,2026-06-24 04:51:57,1
CE000000024,U0000032,CH03,ADC00090,activation,2026-06-24 04:38:57,1
CE000000025,U0000033,CH03,ADC00085,registration,2026-02-10 20:06:28,1
CE000000026,U0000037,CH03,ADC00091,registration,2026-07-31 16:05:42,1
CE000000027,U0000039,CH04,ADC00056,registration,2026-03-03 19:29:13,1
CE000000028,U0000044,CH03,ADC00085,registration,2026-03-30 06:56:24,1
CE000000029,U0000045,CH05,ADC00047,registration,2026-01-12 00:56:27,1
CE000000030,U0000045,CH05,ADC00047,activation,2026-01-11 22:35:27,1
CE000000031,U0000047,CH04,ADC00041,registration,2026-08-02 22:49:17,1
CE000000032,U0000047,CH04,ADC00041,activation,2026-08-03 01:58:17,1
CE000000033,U0000050,CH05,ADC00076,registration,2026-02-19 01:42:30,1
CE000000034,U0000050,CH05,ADC00076,activation,2026-02-18 20:53:30,1
CE000000035,U0000054,CH04,ADC00066,registration,2026-05-07 12:14:11,1
CE000000036,U0000054,CH04,ADC00066,activation,2026-05-07 08:22:11,1
CE000000037,U0000057,CH04,ADC00015,registration,2026-02-02 16:49:56,1
CE000000038,U0000058,CH03,ADC00071,registration,2026-01-17 10:28:38,1
CE000000039,U0000058,CH03,ADC00071,activation,2026-01-17 09:31:38,1
CE000000040,U0000063,CH04,ADC00084,registration,2026-04-25 22:49:39,1
CE000000041,U0000063,CH04,ADC00084,activation,2026-04-26 00:52:39,1
CE000000042,U0000064,CH03,ADC00016,registration,2026-01-29 12:24:11,1
CE000000043,U0000064,CH03,ADC00016,activation,2026-01-29 12:25:11,1
CE000000044,U0000065,CH05,ADC00047,registration,2026-01-09 11:44:14,1
CE000000045,U0000065,CH05,ADC00047,activation,2026-01-09 14:34:14,1
CE000000046,U0000067,CH03,ADC00008,registration,2026-01-23 07:10:45,1
CE000000047,U0000067,CH03,ADC00008,activation,2026-01-23 10:08:45,1
CE000000048,U0000070,CH04,ADC00058,registration,2026-08-05 08:37:01,1
CE000000049,U0000071,CH04,ADC00055,registration,2026-03-07 08:42:47,1
CE000000050,U0000071,CH04,ADC00055,activation,2026-03-07 10:21:47,1
CE000000051,U0000075,CH05,ADC00047,registration,2026-03-18 03:09:21,1
CE000000052,U0000075,CH05,ADC00047,activation,2026-03-18 01:43:21,1
CE000000053,U0000077,CH03,ADC00100,registration,2026-01-20 06:17:19,1
CE000000054,U0000077,CH03,ADC00100,activation,2026-01-20 09:34:19,1
CE000000055,U0000092,CH06,ADC00093,registration,2026-08-11 08:29:40,1
CE000000056,U0000093,CH03,ADC00075,registration,2026-05-18 04:48:44,1
CE000000057,U0000093,CH03,ADC00075,activation,2026-05-18 02:58:44,1
CE000000058,U0000095,CH05,ADC00021,registration,2026-04-05 04:12:09,1
CE000000059,U0000096,CH03,ADC00048,registration,2026-03-17 16:40:43,1
CE000000060,U0000096,CH03,ADC00048,activation,2026-03-17 17:55:43,1
CE000000061,U0000097,CH05,ADC00047,registration,2026-02-01 20:18:31,1
CE000000062,U0000097,CH05,ADC00047,activation,2026-02-01 18:40:31,1
CE000000063,U0000102,CH03,ADC00090,registration,2026-06-03 16:23:00,1
CE000000064,U0000102,CH03,ADC00090,activation,2026-06-03 17:38:00,1
CE000000065,U0000103,CH06,ADC00032,registration,2026-03-04 12:42:43,1
CE000000066,U0000106,CH05,ADC00072,registration,2026-06-04 22:49:08,1
CE000000067,U0000108,CH05,ADC00072,registration,2026-08-07 03:42:22,1
CE000000068,U0000108,CH05,ADC00072,activation,2026-08-07 07:05:22,1
CE000000069,U0000109,CH04,ADC00051,registration,2026-06-17 11:06:52,1
CE000000070,U0000109,CH04,ADC00051,activation,2026-06-17 07:40:52,1
CE000000071,U0000112,CH03,ADC00091,registration,2026-08-19 07:28:18,1
CE000000072,U0000112,CH03,ADC00091,activation,2026-08-19 08:11:18,1
CE000000073,U0000113,CH04,ADC00055,registration,2026-02-01 14:18:37,1
CE000000074,U0000113,CH04,ADC00055,activation,2026-02-01 16:29:37,1
CE000000075,U0000114,CH03,ADC00048,registration,2026-04-01 00:33:37,1
CE000000076,U0000114,CH03,ADC00048,activation,2026-03-31 20:15:37,1
CE000000077,U0000117,CH05,ADC00098,registration,2026-06-08 14:28:05,1
CE000000078,U0000117,CH05,ADC00098,activation,2026-06-08 17:52:05,1
CE000000079,U0000120,CH06,ADC00040,registration,2026-06-11 07:31:37,1
CE000000080,U0000120,CH06,ADC00040,activation,2026-06-11 11:23:37,1
CE000000081,U0000121,CH03,ADC00061,registration,2026-04-11 12:01:43,1
CE000000082,U0000121,CH03,ADC00061,activation,2026-04-11 09:56:43,1
CE000000083,U0000122,CH05,ADC00047,registration,2026-01-17 07:10:06,1
CE000000084,U0000122,CH05,ADC00047,activation,2026-01-17 06:16:06,1
CE000000085,U0000123,CH06,ADC00093,registration,2026-08-27 13:57:59,1
CE000000086,U0000123,CH06,ADC00093,activation,2026-08-27 13:22:59,1
CE000000087,U0000124,CH05,ADC00080,registration,2026-04-22 05:23:14,1
CE000000088,U0000124,CH05,ADC00080,activation,2026-04-22 05:03:14,1
CE000000089,U0000126,CH05,ADC00047,registration,2026-01-19 12:08:17,1
CE000000090,U0000126,CH05,ADC00047,activation,2026-01-19 09:52:17,1
CE000000091,U0000127,CH06,ADC00093,registration,2026-08-27 11:53:14,1
CE000000092,U0000129,CH04,ADC00054,registration,2026-01-12 07:16:04,1
CE000000093,U0000135,CH06,ADC00093,registration,2026-08-13 06:12:59,1
CE000000094,U0000138,CH03,ADC00016,registration,2026-02-21 14:23:20,1
CE000000095,U0000138,CH03,ADC00016,activation,2026-02-21 18:46:20,1
CE000000096,U0000141,CH03,,registration,2026-01-03 08:25:22,1
CE000000097,U0000141,CH03,,activation,2026-01-03 08:22:22,1
CE000000098,U0000144,CH03,ADC00061,registration,2026-05-09 16:38:03,1
CE000000099,U0000144,CH03,ADC00061,activation,2026-05-09 19:11:03,1
CE000000100,U0000146,CH04,ADC00057,registration,2026-05-28 09:24:39,1
CE000000101,U0000146,CH04,ADC00057,activation,2026-05-28 08:00:39,1
CE000000102,U0000148,CH06,ADC00010,registration,2026-07-03 01:05:02,1
CE000000103,U0000150,CH03,ADC00028,registration,2026-04-03 12:50:00,1
CE000000104,U0000150,CH03,ADC00028,activation,2026-04-03 15:00:00,1
CE000000105,U0000152,CH03,ADC00030,registration,2026-04-01 19:57:41,1
CE000000106,U0000152,CH03,ADC00030,activation,2026-04-01 22:44:41,1
CE000000107,U0000154,CH05,ADC00072,registration,2026-05-27 06:29:42,1
CE000000108,U0000154,CH05,ADC00072,activation,2026-05-27 06:10:42,1
CE000000109,U0000155,CH06,ADC00049,registration,2026-04-20 22:50:22,1
CE000000110,U0000156,CH04,ADC00084,registration,2026-04-07 02:45:30,1
CE000000111,U0000156,CH04,ADC00084,activation,2026-04-07 06:38:30,1
CE000000112,U0000157,CH04,ADC00027,registration,2026-07-14 10:06:51,1
CE000000113,U0000159,CH03,ADC00100,registration,2026-01-14 13:43:39,1
CE000000114,U0000159,CH03,ADC00100,activation,2026-01-14 17:29:39,1
CE000000115,U0000161,CH05,ADC00097,registration,2026-05-17 15:47:30,1
CE000000116,U0000163,CH03,ADC00016,registration,2026-02-23 18:53:36,1
CE000000117,U0000168,CH03,ADC00086,registration,2026-01-23 02:26:41,1
CE000000118,U0000168,CH03,ADC00086,activation,2026-01-23 00:07:41,1
CE000000119,U0000170,CH04,ADC00058,registration,2026-08-23 23:43:27,1
CE000000120,U0000173,CH04,ADC00054,registration,2026-01-08 10:23:23,1
CE000000121,U0000175,CH04,ADC00013,registration,2026-05-31 00:49:08,1
CE000000122,U0000175,CH04,ADC00013,activation,2026-05-30 23:18:08,1
CE000000123,U0000178,CH04,ADC00014,registration,2026-03-26 19:46:03,1
CE000000124,U0000180,CH04,ADC00012,registration,2026-04-14 06:17:22,1
CE000000125,U0000180,CH04,ADC00012,activation,2026-04-14 07:46:22,1
CE000000126,U0000182,CH03,ADC00075,registration,2026-03-28 06:35:51,1
CE000000127,U0000182,CH03,ADC00075,activation,2026-03-28 08:59:51,1
CE000000128,U0000190,CH04,ADC00058,registration,2026-08-17 23:01:08,1
CE000000129,U0000190,CH04,ADC00058,activation,2026-08-18 01:03:08,1
CE000000130,U0000191,CH04,ADC00055,registration,2026-02-17 06:21:41,1
CE000000131,U0000191,CH04,ADC00055,activation,2026-02-17 10:01:41,1
CE000000132,U0000194,CH03,ADC00089,registration,2026-05-27 11:44:57,1
CE000000133,U0000195,CH05,ADC00021,registration,2026-05-17 01:40:31,1
CE000000134,U0000197,CH05,ADC00076,registration,2026-02-10 21:20:05,1
CE000000135,U0000197,CH05,ADC00076,activation,2026-02-10 19:32:05,1
CE000000136,U0000198,CH04,ADC00001,registration,2026-05-06 09:49:53,1
CE000000137,U0000198,CH04,ADC00001,activation,2026-05-06 11:40:53,1
CE000000138,U0000199,CH04,ADC00041,registration,2026-08-09 11:52:13,1
CE000000139,U0000199,CH04,ADC00041,activation,2026-08-09 09:39:13,1
CE000000140,U0000200,CH06,ADC00011,registration,2026-04-24 19:38:42,1
CE000000141,U0000200,CH06,ADC00011,activation,2026-04-24 20:29:42,1
CE000000142,U0000203,CH05,ADC00047,registration,2026-01-19 23:06:45,1
CE000000143,U0000203,CH05,ADC00047,activation,2026-01-19 19:16:45,1
CE000000144,U0000206,CH03,ADC00035,registration,2026-04-02 01:39:15,1
CE000000145,U0000206,CH03,ADC00035,activation,2026-04-02 01:34:15,1
CE000000146,U0000208,CH05,ADC00047,registration,2026-01-18 16:42:17,1
CE000000147,U0000208,CH05,ADC00047,activation,2026-01-18 17:01:17,1
CE000000148,U0000210,CH05,ADC00059,registration,2026-08-11 10:26:55,1
CE000000149,U0000214,CH05,ADC00045,registration,2026-06-11 07:04:54,1
CE000000150,U0000219,CH05,ADC00047,registration,2026-01-18 10:35:41,1
CE000000151,U0000219,CH05,ADC00047,activation,2026-01-18 12:03:41,1
CE000000152,U0000223,CH05,ADC00082,registration,2026-05-05 07:37:06,1
