channel_target_id,target_month,channel_id,spend_target,registration_target,activation_target,target_cpa
CT00001,2026-01,CH03,770338,2075,1399,211.25
CT00002,2026-01,CH04,720539,1337,901,149.87
CT00003,2026-01,CH05,713198,1077,1586,143.5
CT00004,2026-01,CH06,364085,1441,1533,180.63
CT00005,2026-02,CH03,481548,2394,1328,178.53
CT00006,2026-02,CH04,649849,1718,1298,193.17
CT00007,2026-02,CH05,518129,1326,1336,88.61
CT00008,2026-02,CH06,459487,1611,736,173.79
CT00009,2026-03,CH03,887060,2252,1039,101.56
CT00010,2026-03,CH04,351988,2324,640,130.34
CT00011,2026-03,CH05,629190,1356,1566,130.0
CT00012,2026-03,CH06,419196,1372,1051,203.05
CT00013,2026-04,CH03,824638,1367,1502,174.92
CT00014,2026-04,CH04,780014,1066,1367,250.03
CT00015,2026-04,CH05,401891,1947,645,220.13
CT00016,2026-04,CH06,698924,2053,1088,134.55
CT00017,2026-05,CH03,451231,2254,761,214.7
CT00018,2026-05,CH04,761843,1563,1309,160.56
CT00019,2026-05,CH05,783301,1483,599,218.83
CT00020,2026-05,CH06,777716,1722,1781,123.2
CT00021,2026-06,CH03,698788,2099,1668,127.96
CT00022,2026-06,CH04,780073,985,619,81.68
CT00023,2026-06,CH05,895614,1591,1341,91.71
CT00024,2026-06,CH06,623734,1280,1195,214.87
CT00025,2026-07,CH03,571025,1211,1117,186.87
CT00026,2026-07,CH04,447424,2173,1455,85.9
CT00027,2026-07,CH05,371894,1941,1161,172.86
CT00028,2026-07,CH06,847310,1721,1311,89.45
CT00029,2026-08,CH03,741991,2375,829,83.84
CT00030,2026-08,CH04,444370,1837,1694,172.16
CT00031,2026-08,CH05,411880,823,729,153.85
CT00032,2026-08,CH06,610431,1529,1452,168.28
