content_metric_id,metric_date,content_id,impressions,play_count,watch_seconds,interaction_count,play_rate,completion_rate
CM00000001,2026-08-26,V00010735,7,3,194,1,0.4286,0.479
CM00000002,2026-05-12,V00013763,7,1,44,1,0.1429,0.7458
CM00000003,2026-03-04,V00004351,8,2,65,0,0.25,0.6771
CM00000004,2026-07-03,V00000689,16,3,24,0,0.1875,0.1905
CM00000005,2026-08-06,V00006121,4,3,50,0,0.75,0.7246
CM00000006,2026-07-18,V00004424,9,3,93,0,0.3333,0.2897
CM00000007,2026-08-20,V00014450,10,5,661,1,0.5,0.8314
CM00000008,2026-03-06,V00005766,10,2,108,0,0.2,0.4576
CM00000009,2026-04-25,V00003613,8,3,24,0,0.375,0.1455
CM00000010,2026-02-15,V00011879,14,5,290,2,0.3571,0.5
CM00000011,2026-07-04,V00000956,10,1,61,0,0.1,0.488
CM00000012,2026-01-06,V00001568,15,4,147,1,0.2667,0.4273
CM00000013,2026-01-11,V00006595,1,0,0,0,0.0,0.0
CM00000014,2026-01-31,V00001438,9,3,168,0,0.3333,0.4242
CM00000015,2026-03-25,V00004784,5,0,0,0,0.0,0.0
CM00000016,2026-02-27,V00001286,13,6,41,1,0.4615,0.402
CM00000017,2026-06-01,V00012193,8,2,185,0,0.25,0.5818
CM00000018,2026-08-28,V00007595,8,3,113,0,0.375,0.4892
CM00000019,2026-06-06,V00007443,19,6,491,2,0.3158,0.6199
CM00000020,2026-06-02,V00006272,11,4,68,0,0.3636,0.68
CM00000021,2026-04-29,V00000951,11,7,679,1,0.6364,0.5706
CM00000022,2026-04-22,V00003834,8,3,204,0,0.375,0.764
CM00000023,2026-04-20,V00004397,11,4,245,1,0.3636,0.4375
CM00000024,2026-01-27,V00005072,7,2,68,0,0.2857,0.5
CM00000025,2026-02-27,V00014772,13,8,61,1,0.6154,0.6932
CM00000026,2026-08-14,V00005707,6,1,3,0,0.1667,0.0556
CM00000027,2026-07-22,V00007256,9,3,72,1,0.3333,0.7742
CM00000028,2026-07-18,V00013484,5,1,47,0,0.2,0.2848
CM00000029,2026-05-19,V00002506,13,2,33,0,0.1538,0.6346
CM00000030,2026-02-13,V00011655,7,2,85,0,0.2857,0.2833
CM00000031,2026-03-10,V00014777,8,2,70,1,0.25,0.5738
CM00000032,2026-08-11,V00002362,10,3,294,1,0.3,0.8829
CM00000033,2026-06-24,V00004881,8,2,201,0,0.25,0.7444
CM00000034,2026-06-07,V00011600,8,2,9,0,0.25,0.1667
CM00000035,2026-06-07,V00012469,9,5,419,1,0.5556,0.6207
CM00000036,2026-01-31,V00004642,12,3,108,0,0.25,0.5806
CM00000037,2026-04-04,V00000996,7,2,96,0,0.2857,0.3664
CM00000038,2026-02-04,V00003575,8,3,95,0,0.375,0.609
CM00000039,2026-02-28,V00000579,3,1,96,0,0.3333,0.5581
CM00000040,2026-01-14,V00014220,17,6,418,0,0.3529,0.4707
CM00000041,2026-08-23,V00001798,6,2,61,1,0.3333,0.4296
CM00000042,2026-05-01,V00001814,13,4,196,0,0.3077,0.3952
CM00000043,2026-03-15,V00011084,18,6,549,1,0.3333,0.7038
CM00000044,2026-04-15,V00012587,7,0,0,0,0.0,0.0
CM00000045,2026-07-03,V00000653,6,3,83,0,0.5,0.401
