content_tag_relation_id,content_id,content_tag_id,confidence_score,source
CTR000000001,V00000001,CTAG007,0.6952,model
CTR000000002,V00000001,CTAG004,0.8642,model
CTR000000003,V00000001,CTAG016,0.9111,model
CTR000000004,V00000001,CTAG008,0.6839,model
CTR000000005,V00000002,CTAG016,0.8413,model
CTR000000006,V00000002,CTAG005,0.732,model
CTR000000007,V00000002,CTAG013,0.8096,model
CTR000000008,V00000002,CTAG006,0.9911,model
CTR000000009,V00000003,CTAG012,0.7999,model
CTR000000010,V00000003,CTAG016,0.8366,model
CTR000000011,V00000003,CTAG014,0.7251,model
CTR000000012,V00000003,CTAG001,0.9912,model
CTR000000013,V00000004,CTAG006,0.6027,model
CTR000000014,V00000005,CTAG017,0.6375,model
CTR000000015,V00000005,CTAG007,0.8468,model
CTR000000016,V00000006,CTAG014,0.9819,model
CTR000000017,V00000006,CTAG009,0.6086,model
CTR000000018,V00000006,CTAG005,0.7476,model
CTR000000019,V00000007,CTAG018,0.6527,model
CTR000000020,V00000007,CTAG010,0.8617,model
CTR000000021,V00000008,CTAG013,0.6468,model
CTR000000022,V00000009,CTAG014,0.8393,model
CTR000000023,V00000009,CTAG013,0.7911,model
CTR000000024,V00000009,CTAG003,0.887,model
CTR000000025,V00000009,CTAG001,0.7149,model
CTR000000026,V00000010,CTAG003,0.9954,model
CTR000000027,V00000011,CTAG010,0.672,model
CTR000000028,V00000011,CTAG002,0.6019,model
CTR000000029,V00000011,CTAG018,0.9429,model
CTR000000030,V00000012,CTAG007,0.8168,model
CTR000000031,V00000013,CTAG009,0.9048,model
CTR000000032,V00000013,CTAG006,0.7922,model
CTR000000033,V00000013,CTAG013,0.8866,model
CTR000000034,V00000013,CTAG001,0.721,model
CTR000000035,V00000014,CTAG001,0.7594,model
CTR000000036,V00000014,CTAG016,0.6657,model
CTR000000037,V00000014,CTAG011,0.9205,model
CTR000000038,V00000014,CTAG010,0.6831,model
CTR000000039,V00000015,CTAG013,0.8152,model
CTR000000040,V00000015,CTAG003,0.6361,model
CTR000000041,V00000015,CTAG009,0.7673,model
CTR000000042,V00000016,CTAG014,0.8388,model
CTR000000043,V00000016,CTAG002,0.9416,model
CTR000000044,V00000017,CTAG001,0.7932,model
CTR000000045,V00000017,CTAG002,0.9093,model
CTR000000046,V00000017,CTAG016,0.6803,model
CTR000000047,V00000017,CTAG007,0.6788,model
CTR000000048,V00000018,CTAG008,0.8161,model
CTR000000049,V00000019,CTAG012,0.9786,model
CTR000000050,V00000019,CTAG018,0.8771,model
CTR000000051,V00000019,CTAG014,0.9391,model
CTR000000052,V00000020,CTAG010,0.6207,model
CTR000000053,V00000020,CTAG011,0.9955,model
CTR000000054,V00000021,CTAG003,0.6248,model
CTR000000055,V00000022,CTAG003,0.8095,model
CTR000000056,V00000022,CTAG017,0.7201,model
CTR000000057,V00000022,CTAG006,0.6493,model
CTR000000058,V00000022,CTAG010,0.6832,model
CTR000000059,V00000023,CTAG003,0.7894,model
CTR000000060,V00000024,CTAG001,0.9656,model
CTR000000061,V00000024,CTAG004,0.9411,model
CTR000000062,V00000024,CTAG008,0.9963,model
CTR000000063,V00000024,CTAG012,0.9649,model
CTR000000064,V00000025,CTAG016,0.7677,model
CTR000000065,V00000025,CTAG006,0.7364,model
CTR000000066,V00000026,CTAG015,0.6426,model
CTR000000067,V00000026,CTAG001,0.9804,model
CTR000000068,V00000026,CTAG011,0.6961,model
CTR000000069,V00000026,CTAG017,0.9789,model
CTR000000070,V00000027,CTAG007,0.9086,model
CTR000000071,V00000028,CTAG016,0.6343,model
CTR000000072,V00000028,CTAG011,0.9333,model
CTR000000073,V00000028,CTAG009,0.7318,model
CTR000000074,V00000028,CTAG010,0.9472,model
CTR000000075,V00000029,CTAG012,0.666,model
CTR000000076,V00000029,CTAG011,0.7304,model
CTR000000077,V00000029,CTAG018,0.6699,model
CTR000000078,V00000030,CTAG015,0.9065,model
CTR000000079,V00000030,CTAG003,0.9866,model
CTR000000080,V00000030,CTAG017,0.8462,model
CTR000000081,V00000030,CTAG005,0.8354,model
