content_id,creator_id,category_id,content_title,duration_seconds,published_at,content_status,visibility,quality_score
V00000001,C000028,CAT11,科技内容000001,93,2026-03-27 03:21:32,published,public,0.4347
V00000002,C000482,CAT02,生活内容000002,159,2026-05-09 23:02:51,published,public,0.5402
V00000003,C000025,CAT04,知识内容000003,98,2026-04-24 01:54:33,published,public,0.7856
V00000004,C000143,CAT05,体育内容000004,143,2026-01-15 05:38:11,published,public,0.5764
V00000005,C000554,CAT07,音乐内容000005,75,2026-08-17 17:13:00,published,public,0.6677
V00000006,C000558,CAT12,影视内容000006,156,2026-03-31 01:48:10,published,public,0.7918
V00000007,C001634,CAT11,科技内容000007,38,2026-02-22 11:11:14,published,public,0.7874
V00000008,C001474,CAT02,生活内容000008,158,2026-08-26 06:38:00,published,public,0.401
V00000009,C001129,CAT11,科技内容000009,49,2026-06-17 12:49:11,published,public,0.4402
V00000010,C001723,CAT11,科技内容000010,126,2026-04-26 10:44:40,published,public,0.5556
V00000011,C001660,CAT04,知识内容000011,33,2026-05-12 14:43:14,published,public,0.6993
V00000012,C001677,CAT05,体育内容000012,39,2026-01-14 06:17:41,published,public,0.4678
V00000013,C000996,CAT05,体育内容000013,94,2026-07-27 16:49:12,published,public,0.3808
V00000014,C000114,CAT08,旅行内容000014,42,2026-07-20 21:45:45,published,public,0.6551
V00000015,C000675,CAT10,亲子内容000015,96,2026-04-09 00:21:04,published,public,0.8028
V00000016,C000655,CAT08,旅行内容000016,18,2026-03-25 12:06:20,published,public,0.7452
V00000017,C000768,CAT03,美食内容000017,155,2026-02-09 05:24:59,published,public,0.9108
V00000018,C001685,CAT05,体育内容000018,140,2026-03-25 21:05:56,published,public,0.5798
V00000019,C001091,CAT06,游戏内容000019,127,2026-04-30 03:10:15,published,public,0.4781
V00000020,C001411,CAT10,亲子内容000020,150,2026-07-07 21:12:50,published,public,0.9103
V00000021,C000641,CAT05,体育内容000021,33,2026-07-19 00:07:34,published,public,0.4413
V00000022,C000437,CAT09,时尚内容000022,177,2026-06-18 04:19:31,published,public,0.592
V00000023,C000148,CAT06,游戏内容000023,143,2026-08-22 06:08:08,published,public,0.7713
V00000024,C000301,CAT06,游戏内容000024,91,2026-08-12 12:21:02,published,public,0.6911
V00000025,C000864,CAT10,亲子内容000025,29,2026-06-19 13:44:51,published,public,0.7653
V00000026,C000444,CAT01,搞笑内容000026,173,2026-07-11 11:29:13,published,public,0.4101
V00000027,C001293,CAT05,体育内容000027,155,2026-04-14 12:49:41,published,public,0.5313
V00000028,C001582,CAT12,影视内容000028,109,2026-06-21 21:46:43,published,public,0.0835
V00000029,C001461,CAT02,生活内容000029,28,2026-03-01 13:17:31,published,public,0.5942
V00000030,C001327,CAT10,亲子内容000030,119,2026-08-16 18:03:58,published,public,0.6023
V00000031,C001726,CAT12,影视内容000031,100,2026-01-21 09:24:48,published,public,0.8173
V00000032,C000356,CAT06,游戏内容000032,19,2026-07-26 02:30:47,published,public,0.4237
V00000033,C000170,CAT03,美食内容000033,46,2026-05-05 17:20:53,published,public,0.99
V00000034,C000623,CAT01,搞笑内容000034,89,2026-05-07 13:27:47,published,public,0.7306
V00000035,C000535,CAT11,科技内容000035,42,2026-03-24 04:33:39,published,public,0.4953
V00000036,C001638,CAT03,美食内容000036,177,2026-07-25 17:11:18,published,public,0.5463
V00000037,C000932,CAT11,科技内容000037,137,2026-07-11 22:02:22,published,public,0.4887
V00000038,C000199,CAT11,科技内容000038,14,2026-01-16 17:50:25,published,public,0.4829
V00000039,C001713,CAT02,生活内容000039,98,2026-02-25 20:11:02,published,public,0.466
V00000040,C001092,CAT07,音乐内容000040,118,2026-03-03 05:53:41,published,public,0.5241
V00000041,C001496,CAT04,知识内容000041,62,2026-05-07 09:42:48,published,public,0.4966
V00000042,C001127,CAT10,亲子内容000042,101,2026-04-25 20:09:06,published,public,0.6149
V00000043,C000759,CAT02,生活内容000043,48,2026-05-04 02:03:49,published,public,0.5515
V00000044,C001538,CAT07,音乐内容000044,100,2026-05-15 21:02:28,published,public,0.7509
V00000045,C000170,CAT03,美食内容000045,163,2026-01-15 15:14:38,published,public,0.5829
V00000046,C001080,CAT02,生活内容000046,101,2026-01-20 08:58:43,published,public,0.8969
V00000047,C001630,CAT12,影视内容000047,151,2026-07-12 12:27:56,published,public,0.5579
V00000048,C001566,CAT12,影视内容000048,94,2026-07-05 20:11:31,published,public,0.6602
V00000049,C000416,CAT10,亲子内容000049,113,2026-05-28 12:28:51,published,public,0.7348
V00000050,C001700,CAT02,生活内容000050,48,2026-04-15 22:49:02,published,public,0.712
V00000051,C001573,CAT09,时尚内容000051,17,2026-08-26 22:07:44,published,public,0.5544
V00000052,C000856,CAT10,亲子内容000052,89,2026-05-26 15:17:12,published,public,0.791
V00000053,C001487,CAT12,影视内容000053,41,2026-08-07 23:05:11,published,public,0.6475
V00000054,C000695,CAT02,生活内容000054,102,2026-06-07 13:12:31,published,public,0.4107
V00000055,C000648,CAT02,生活内容000055,170,2026-06-22 20:40:02,published,public,0.7999
V00000056,C000865,CAT05,体育内容000056,145,2026-02-27 13:27:47,published,public,0.5436
V00000057,C001757,CAT02,生活内容000057,146,2026-06-05 02:42:51,published,public,0.4523
V00000058,C000907,CAT05,体育内容000058,123,2026-05-16 09:42:54,published,public,0.6522
V00000059,C001457,CAT05,体育内容000059,143,2026-08-28 06:18:34,published,public,0.7666
V00000060,C000492,CAT11,科技内容000060,70,2026-02-04 03:39:12,published,public,0.5618
V00000061,C000713,CAT12,影视内容000061,54,2026-06-17 08:19:13,published,public,0.5802
V00000062,C000977,CAT03,美食内容000062,40,2026-07-27 00:04:14,published,public,0.59
V00000063,C000231,CAT03,美食内容000063,90,2026-03-03 14:03:08,published,public,0.8092
V00000064,C001276,CAT07,音乐内容000064,38,2026-08-22 00:17:25,published,public,0.8116
V00000065,C001607,CAT12,影视内容000065,81,2026-08-24 08:27:17,published,public,0.724
V00000066,C001633,CAT03,美食内容000066,11,2026-05-11 09:23:43,published,public,0.5105
V00000067,C001229,CAT06,游戏内容000067,22,2026-05-11 11:50:21,removed,public,0.5863
V00000068,C000621,CAT11,科技内容000068,41,2026-08-10 21:48:27,published,public,0.9064
