creator_metric_id,metric_date,creator_id,play_count,interaction_count,published_count,interaction_rate
CRM0000001,2026-08-28,C000001,39,7,9,0.1795
CRM0000002,2026-08-28,C000002,20,2,9,0.1
CRM0000003,2026-08-28,C000003,13,3,4,0.2308
CRM0000004,2026-08-28,C000004,36,4,9,0.1111
CRM0000005,2026-08-28,C000005,36,5,13,0.1389
CRM0000006,2026-08-28,C000006,2,0,1,0.0
CRM0000007,2026-08-28,C000007,26,5,9,0.1923
CRM0000008,2026-08-28,C000008,16,1,5,0.0625
CRM0000009,2026-08-28,C000009,26,2,10,0.0769
CRM0000010,2026-08-28,C000010,42,7,13,0.1667
CRM0000011,2026-08-28,C000011,50,6,10,0.12
CRM0000012,2026-08-28,C000012,12,1,4,0.0833
CRM0000013,2026-08-28,C000013,17,3,5,0.1765
CRM0000014,2026-08-28,C000014,40,5,12,0.125
CRM0000015,2026-08-28,C000015,49,2,14,0.0408
CRM0000016,2026-08-28,C000016,29,5,10,0.1724
CRM0000017,2026-08-28,C000017,33,2,9,0.0606
CRM0000018,2026-08-28,C000018,27,2,9,0.0741
CRM0000019,2026-08-28,C000019,30,6,9,0.2
CRM0000020,2026-08-28,C000020,30,4,9,0.1333
CRM0000021,2026-08-28,C000021,24,2,8,0.0833
CRM0000022,2026-08-28,C000022,41,8,8,0.1951
CRM0000023,2026-08-28,C000023,15,2,6,0.1333
CRM0000024,2026-08-28,C000024,41,6,11,0.1463
CRM0000025,2026-08-28,C000025,59,12,15,0.2034
CRM0000026,2026-08-28,C000026,19,5,4,0.2632
CRM0000027,2026-08-28,C000027,24,1,5,0.0417
CRM0000028,2026-08-28,C000028,13,0,6,0.0
CRM0000029,2026-08-28,C000029,26,4,11,0.1538
CRM0000030,2026-08-28,C000030,35,2,11,0.0571
CRM0000031,2026-08-28,C000031,43,4,10,0.093
CRM0000032,2026-08-28,C000032,24,2,6,0.0833
CRM0000033,2026-08-28,C000033,16,2,4,0.125
CRM0000034,2026-08-28,C000034,12,2,6,0.1667
CRM0000035,2026-08-28,C000035,32,6,12,0.1875
CRM0000036,2026-08-28,C000036,28,2,7,0.0714
CRM0000037,2026-08-28,C000037,20,1,7,0.05
CRM0000038,2026-08-28,C000038,52,2,12,0.0385
CRM0000039,2026-08-28,C000039,41,7,13,0.1707
CRM0000040,2026-08-28,C000040,30,8,9,0.2667
CRM0000041,2026-08-28,C000041,23,3,9,0.1304
CRM0000042,2026-08-28,C000042,25,2,8,0.08
