creator_id,primary_category_id,follower_count,published_content_count,quality_score,creator_type,snapshot_date
C000001,CAT10,418795,3545,0.7922,个人,2026-08-28
C000002,CAT08,653731,1269,0.4227,个人,2026-08-28
C000003,CAT06,223028,40,0.3744,个人,2026-08-28
C000004,CAT04,969404,3222,0.663,个人,2026-08-28
C000005,CAT02,505902,3425,0.4069,个人,2026-08-28
C000006,CAT10,112660,171,0.3858,个人,2026-08-28
C000007,CAT04,636654,2296,0.268,机构,2026-08-28
C000008,CAT01,345576,3268,0.6445,个人,2026-08-28
C000009,CAT02,687715,1606,0.4538,个人,2026-08-28
C000010,CAT09,499264,3658,0.4473,媒体,2026-08-28
C000011,CAT10,257068,2778,0.5097,个人,2026-08-28
C000012,CAT12,565275,976,0.4925,个人,2026-08-28
C000013,CAT08,213834,2519,0.5803,个人,2026-08-28
C000014,CAT10,463331,229,0.3981,个人,2026-08-28
C000015,CAT10,372182,924,0.6072,个人,2026-08-28
C000016,CAT04,69357,2669,0.3658,个人,2026-08-28
C000017,CAT03,224104,3114,0.3775,个人,2026-08-28
C000018,CAT03,91032,491,0.6966,机构,2026-08-28
C000019,CAT12,1158570,2291,0.7168,个人,2026-08-28
C000020,CAT12,620128,3049,0.5094,个人,2026-08-28
C000021,CAT06,480985,3662,0.3332,个人,2026-08-28
C000022,CAT04,241944,1375,0.9711,个人,2026-08-28
C000023,CAT07,91674,3765,0.5864,媒体,2026-08-28
C000024,CAT11,496400,3252,0.5816,个人,2026-08-28
C000025,CAT04,1071769,3823,0.6381,个人,2026-08-28
C000026,CAT03,64687,2790,0.694,个人,2026-08-28
C000027,CAT12,207971,873,0.2609,个人,2026-08-28
C000028,CAT11,1144110,1055,0.549,个人,2026-08-28
C000029,CAT06,297315,394,0.3799,个人,2026-08-28
C000030,CAT01,376899,630,0.2716,媒体,2026-08-28
C000031,CAT12,962918,2229,0.425,个人,2026-08-28
C000032,CAT03,1138468,2365,0.7162,媒体,2026-08-28
C000033,CAT04,1063954,1019,0.613,个人,2026-08-28
C000034,CAT10,856288,2145,0.8668,机构,2026-08-28
C000035,CAT12,337962,2797,0.2934,个人,2026-08-28
C000036,CAT11,173759,2202,0.6439,个人,2026-08-28
C000037,CAT11,353276,2439,0.628,个人,2026-08-28
C000038,CAT10,967419,1829,0.4972,媒体,2026-08-28
C000039,CAT03,209154,1380,0.7962,个人,2026-08-28
C000040,CAT01,242191,2392,0.4715,个人,2026-08-28
C000041,CAT07,562077,1159,0.3899,机构,2026-08-28
C000042,CAT05,943850,1767,0.6483,个人,2026-08-28
C000043,CAT01,146960,2445,0.8542,个人,2026-08-28
C000044,CAT01,166507,2855,0.98,个人,2026-08-28
C000045,CAT12,17858,1534,0.545,个人,2026-08-28
C000046,CAT01,277599,2020,0.4972,个人,2026-08-28
C000047,CAT06,835329,3206,0.534,媒体,2026-08-28
C000048,CAT09,187887,2022,0.2437,个人,2026-08-28
C000049,CAT06,442681,2503,0.3688,个人,2026-08-28
C000050,CAT02,605891,187,0.3708,个人,2026-08-28
C000051,CAT05,185085,3837,0.5496,机构,2026-08-28
C000052,CAT08,950744,3055,0.5033,个人,2026-08-28
C000053,CAT10,775473,2817,0.6164,媒体,2026-08-28
C000054,CAT03,922999,1246,0.6968,个人,2026-08-28
C000055,CAT08,662091,784,0.5864,机构,2026-08-28
C000056,CAT01,1027046,1361,0.4747,个人,2026-08-28
C000057,CAT04,725703,1417,0.6651,个人,2026-08-28
C000058,CAT09,1005977,3105,0.5421,个人,2026-08-28
C000059,CAT07,835987,1762,0.7877,个人,2026-08-28
C000060,CAT05,112788,332,0.658,个人,2026-08-28
C000061,CAT10,935877,1074,0.4933,个人,2026-08-28
C000062,CAT03,695514,901,0.2832,个人,2026-08-28
C000063,CAT09,859202,1299,0.3256,机构,2026-08-28
C000064,CAT06,154267,1824,0.6884,个人,2026-08-28
C000065,CAT01,704113,1161,0.3204,个人,2026-08-28
C000066,CAT08,32694,1852,0.618,个人,2026-08-28
C000067,CAT01,360382,2945,0.7249,个人,2026-08-28
C000068,CAT12,1035131,2826,0.3364,个人,2026-08-28
C000069,CAT08,597126,1189,0.8445,机构,2026-08-28
C000070,CAT09,67397,2986,0.4057,个人,2026-08-28
C000071,CAT09,42739,2147,0.6483,个人,2026-08-28
C000072,CAT07,305802,483,0.5889,个人,2026-08-28
C000073,CAT02,682117,1352,0.5803,个人,2026-08-28
C000074,CAT06,621932,3959,0.3488,个人,2026-08-28
C000075,CAT01,504530,2955,0.3747,个人,2026-08-28
C000076,CAT01,226242,11,0.3143,个人,2026-08-28
C000077,CAT12,559213,409,0.5782,机构,2026-08-28
C000078,CAT02,641736,1160,0.4101,个人,2026-08-28
C000079,CAT05,155272,2660,0.8022,个人,2026-08-28
C000080,CAT01,822645,2143,0.448,个人,2026-08-28
C000081,CAT12,885852,231,0.4839,个人,2026-08-28
C000082,CAT05,414203,844,0.5376,个人,2026-08-28
C000083,CAT05,93803,479,0.6607,个人,2026-08-28
C000084,CAT09,597369,1789,0.4846,个人,2026-08-28
C000085,CAT03,75842,1764,0.6432,个人,2026-08-28
