creator_id,creator_name,creator_level,joined_at,creator_status
C000001,创作者00001,成熟,2024-09-28 11:58:24,active
C000002,创作者00002,成长,2025-08-11 04:10:10,active
C000003,创作者00003,新星,2025-08-29 14:39:00,active
C000004,创作者00004,成长,2025-03-04 00:00:58,active
C000005,创作者00005,新星,2026-01-14 05:37:53,active
C000006,创作者00006,新星,2025-03-07 04:21:04,active
C000007,创作者00007,新星,2026-02-18 11:57:57,active
C000008,创作者00008,成长,2025-11-16 09:01:49,active
C000009,创作者00009,新星,2025-09-27 19:21:29,active
C000010,创作者00010,新星,2025-11-12 10:01:19,active
C000011,创作者00011,新星,2025-12-22 07:41:48,active
C000012,创作者00012,新星,2025-02-18 22:45:04,active
C000013,创作者00013,成长,2026-03-16 06:17:15,active
C000014,创作者00014,新星,2026-03-08 23:12:51,active
C000015,创作者00015,成长,2025-05-28 03:15:20,active
C000016,创作者00016,成长,2024-11-19 18:42:50,active
C000017,创作者00017,新星,2025-10-13 17:35:52,active
C000018,创作者00018,新星,2026-08-21 05:46:38,active
C000019,创作者00019,成长,2026-01-29 05:40:14,active
C000020,创作者00020,成熟,2024-09-08 14:01:48,active
C000021,创作者00021,新星,2025-10-12 21:26:37,inactive
C000022,创作者00022,头部,2026-02-14 21:50:25,active
C000023,创作者00023,成长,2024-09-14 19:23:33,active
C000024,创作者00024,成长,2025-02-26 08:29:58,active
C000025,创作者00025,成长,2025-09-02 13:56:52,inactive
C000026,创作者00026,成长,2025-06-30 05:39:58,active
C000027,创作者00027,新星,2024-11-02 01:26:40,active
C000028,创作者00028,成长,2024-08-25 00:59:42,active
C000029,创作者00029,新星,2025-07-23 08:19:35,active
C000030,创作者00030,新星,2025-02-03 08:14:00,active
C000031,创作者00031,新星,2026-03-24 07:31:26,active
C000032,创作者00032,成长,2024-12-05 00:42:39,active
C000033,创作者00033,新星,2026-01-13 17:03:55,active
C000034,创作者00034,成熟,2025-08-19 23:00:30,active
C000035,创作者00035,新星,2024-11-03 07:50:16,active
C000036,创作者00036,成长,2024-12-20 04:44:29,active
C000037,创作者00037,成长,2025-01-06 18:32:07,active
C000038,创作者00038,成长,2025-08-17 00:26:33,active
C000039,创作者00039,头部,2024-09-22 09:10:59,active
C000040,创作者00040,新星,2025-10-04 10:05:11,active
C000041,创作者00041,新星,2025-12-26 10:57:23,active
C000042,创作者00042,成长,2025-01-06 04:05:21,active
C000043,创作者00043,成熟,2025-10-28 02:21:04,inactive
C000044,创作者00044,头部,2026-05-09 01:34:52,active
C000045,创作者00045,新星,2025-05-02 17:02:22,active
C000046,创作者00046,成长,2026-02-12 18:08:53,active
C000047,创作者00047,成长,2026-05-15 16:27:45,active
C000048,创作者00048,新星,2026-07-14 06:32:33,inactive
C000049,创作者00049,新星,2024-11-19 06:04:19,active
C000050,创作者00050,新星,2026-01-20 03:02:15,active
C000051,创作者00051,新星,2024-11-26 08:32:49,active
C000052,创作者00052,新星,2024-08-21 06:19:54,inactive
C000053,创作者00053,头部,2024-11-26 15:20:41,active
C000054,创作者00054,成长,2025-01-16 09:52:25,active
C000055,创作者00055,成长,2024-12-28 22:31:08,active
C000056,创作者00056,新星,2025-02-16 14:22:19,active
C000057,创作者00057,头部,2026-05-01 14:46:09,active
C000058,创作者00058,成长,2026-08-12 15:04:32,active
C000059,创作者00059,成长,2025-04-29 06:10:33,active
C000060,创作者00060,新星,2025-07-05 02:23:24,active
