metric_id,metric_date,channel_id,new_users,activated_users,day1_retained_users,day7_retained_users,daily_active_users
GM00000001,2026-01-01,CH01,15,13,6,6,0
GM00000002,2026-01-01,CH02,3,1,1,1,0
GM00000003,2026-01-01,CH03,5,3,2,1,1
GM00000004,2026-01-01,CH04,6,4,0,1,0
GM00000005,2026-01-01,CH05,5,5,0,0,0
GM00000006,2026-01-01,CH06,1,1,0,0,0
GM00000007,2026-01-01,CH07,6,5,1,2,1
GM00000008,2026-01-01,CH08,5,4,2,2,0
GM00000009,2026-01-01,CH09,2,1,0,0,0
GM00000010,2026-01-01,CH10,1,0,0,0,0
GM00000011,2026-01-02,CH01,12,12,5,6,6
GM00000012,2026-01-02,CH02,6,5,1,1,1
GM00000013,2026-01-02,CH03,11,9,3,2,3
GM00000014,2026-01-02,CH04,8,6,2,4,2
GM00000015,2026-01-02,CH05,4,4,2,1,0
GM00000016,2026-01-02,CH06,7,5,0,2,0
GM00000017,2026-01-02,CH07,6,3,3,5,1
GM00000018,2026-01-02,CH08,4,4,2,1,2
GM00000019,2026-01-02,CH09,0,0,0,0,0
GM00000020,2026-01-02,CH10,2,2,0,1,0
GM00000021,2026-01-03,CH01,8,7,3,3,6
GM00000022,2026-01-03,CH02,10,10,2,0,1
GM00000023,2026-01-03,CH03,6,5,4,2,3
GM00000024,2026-01-03,CH04,5,5,1,1,4
GM00000025,2026-01-03,CH05,2,2,1,0,3
GM00000026,2026-01-03,CH06,4,3,0,0,0
GM00000027,2026-01-03,CH07,4,2,0,1,3
GM00000028,2026-01-03,CH08,1,1,1,0,2
GM00000029,2026-01-03,CH09,1,1,0,0,0
GM00000030,2026-01-03,CH10,1,0,0,0,0
GM00000031,2026-01-04,CH01,7,6,5,3,11
GM00000032,2026-01-04,CH02,7,3,3,3,4
GM00000033,2026-01-04,CH03,10,6,2,1,5
GM00000034,2026-01-04,CH04,5,2,3,3,3
GM00000035,2026-01-04,CH05,3,1,0,0,5
GM00000036,2026-01-04,CH06,5,5,2,0,0
GM00000037,2026-01-04,CH07,5,4,2,2,6
GM00000038,2026-01-04,CH08,5,3,2,2,3
GM00000039,2026-01-04,CH09,3,3,0,0,1
GM00000040,2026-01-04,CH10,0,0,0,0,0
GM00000041,2026-01-05,CH01,9,9,2,5,11
GM00000042,2026-01-05,CH02,6,6,1,2,3
GM00000043,2026-01-05,CH03,7,6,2,1,5
GM00000044,2026-01-05,CH04,6,5,1,1,10
GM00000045,2026-01-05,CH05,4,4,1,2,2
GM00000046,2026-01-05,CH06,3,2,1,0,5
GM00000047,2026-01-05,CH07,9,9,6,2,7
GM00000048,2026-01-05,CH08,0,0,0,0,3
GM00000049,2026-01-05,CH09,0,0,0,0,0
