recall_campaign_id,campaign_name,target_segment,touch_channel,start_date,end_date,status
RC0001,沉默用户召回01,沉默7天,push,2026-07-26,2026-08-02,completed
RC0002,沉默用户召回02,流失30天,push,2026-06-13,2026-06-20,completed
RC0003,沉默用户召回03,沉默14天,push,2026-02-10,2026-02-17,completed
RC0004,沉默用户召回04,沉默14天,in_app,2026-01-31,2026-02-07,completed
RC0005,沉默用户召回05,流失30天,push,2026-07-28,2026-08-04,completed
RC0006,沉默用户召回06,沉默7天,in_app,2026-02-15,2026-02-22,completed
RC0007,沉默用户召回07,沉默7天,push,2026-06-23,2026-06-30,completed
RC0008,沉默用户召回08,流失30天,push,2026-06-21,2026-06-28,completed
RC0009,沉默用户召回09,沉默7天,sms,2026-05-06,2026-05-13,completed
RC0010,沉默用户召回10,沉默14天,push,2026-03-12,2026-03-19,completed
RC0011,沉默用户召回11,沉默7天,sms,2026-07-10,2026-07-17,completed
RC0012,沉默用户召回12,流失30天,push,2026-02-27,2026-03-06,completed
RC0013,沉默用户召回13,流失30天,push,2026-02-14,2026-02-21,completed
RC0014,沉默用户召回14,沉默14天,push,2026-03-21,2026-03-28,completed
RC0015,沉默用户召回15,沉默7天,push,2026-04-21,2026-04-28,completed
RC0016,沉默用户召回16,沉默14天,in_app,2026-02-20,2026-02-27,completed
RC0017,沉默用户召回17,沉默14天,sms,2026-04-08,2026-04-15,completed
RC0018,沉默用户召回18,流失30天,push,2026-02-08,2026-02-15,completed
RC0019,沉默用户召回19,沉默14天,sms,2026-06-25,2026-07-02,completed
RC0020,沉默用户召回20,沉默14天,push,2026-05-24,2026-05-31,completed
RC0021,沉默用户召回21,沉默7天,in_app,2026-04-14,2026-04-21,completed
RC0022,沉默用户召回22,流失30天,in_app,2026-05-21,2026-05-28,completed
RC0023,沉默用户召回23,沉默7天,sms,2026-05-27,2026-06-03,completed
RC0024,沉默用户召回24,沉默14天,push,2026-06-04,2026-06-11,completed
