recall_result_id,touch_id,user_id,recalled,returned_at,active_days_after_recall
RCR000000001,RCT000000001,U0001742,0,,0
RCR000000002,RCT000000002,U0000923,0,,0
RCR000000003,RCT000000003,U0004264,0,,0
RCR000000004,RCT000000004,U0011484,0,,0
RCR000000005,RCT000000005,U0002944,0,,0
RCR000000006,RCT000000006,U0003370,0,,0
RCR000000007,RCT000000007,U0000340,1,2026-05-24 23:00:00,1
RCR000000008,RCT000000008,U0000716,0,,0
RCR000000009,RCT000000009,U0010554,0,,0
RCR000000010,RCT000000010,U0001718,0,,0
RCR000000011,RCT000000011,U0003600,0,,0
RCR000000012,RCT000000012,U0009804,1,2026-05-31 05:00:00,2
RCR000000013,RCT000000013,U0009378,0,,0
RCR000000014,RCT000000014,U0011597,0,,0
RCR000000015,RCT000000015,U0009025,0,,0
RCR000000016,RCT000000016,U0005669,0,,0
RCR000000017,RCT000000017,U0005167,0,,0
RCR000000018,RCT000000018,U0000438,0,,0
RCR000000019,RCT000000019,U0010087,0,,0
RCR000000020,RCT000000020,U0004846,0,,0
RCR000000021,RCT000000021,U0010848,0,,0
RCR000000022,RCT000000022,U0003302,1,2026-04-15 08:00:00,6
RCR000000023,RCT000000023,U0011793,1,2026-03-16 09:00:00,6
RCR000000024,RCT000000024,U0004587,0,,0
RCR000000025,RCT000000025,U0002262,0,,0
RCR000000026,RCT000000026,U0004125,0,,0
RCR000000027,RCT000000027,U0009454,1,2026-06-11 05:00:00,2
RCR000000028,RCT000000028,U0001949,0,,0
RCR000000029,RCT000000029,U0006212,0,,0
RCR000000030,RCT000000030,U0003850,0,,0
RCR000000031,RCT000000031,U0004211,0,,0
RCR000000032,RCT000000032,U0006903,0,,0
RCR000000033,RCT000000033,U0001534,0,,0
RCR000000034,RCT000000034,U0011857,0,,0
RCR000000035,RCT000000035,U0011029,1,2026-06-07 16:00:00,7
RCR000000036,RCT000000036,U0007131,0,,0
RCR000000037,RCT000000037,U0000871,0,,0
RCR000000038,RCT000000038,U0001485,0,,0
RCR000000039,RCT000000039,U0000067,0,,0
RCR000000040,RCT000000040,U0007253,1,2026-03-06 11:00:00,7
RCR000000041,RCT000000041,U0003132,0,,0
RCR000000042,RCT000000042,U0004762,0,,0
RCR000000043,RCT000000043,U0004478,0,,0
RCR000000044,RCT000000044,U0011087,0,,0
RCR000000045,RCT000000045,U0000760,0,,0
RCR000000046,RCT000000046,U0008700,0,,0
RCR000000047,RCT000000047,U0004099,0,,0
RCR000000048,RCT000000048,U0008999,0,,0
RCR000000049,RCT000000049,U0008221,0,,0
