touch_id,recall_campaign_id,user_id,touch_channel,sent_at,delivered,clicked
RCT000000001,RC0021,U0001742,in_app,2026-04-16 11:00:00,1,0
RCT000000002,RC0023,U0000923,sms,2026-05-28 21:00:00,1,0
RCT000000003,RC0003,U0004264,push,2026-02-16 16:00:00,1,0
RCT000000004,RC0011,U0011484,sms,2026-07-15 14:00:00,1,0
RCT000000005,RC0007,U0002944,push,2026-06-25 11:00:00,1,0
RCT000000006,RC0021,U0003370,in_app,2026-04-14 20:00:00,0,0
RCT000000007,RC0022,U0000340,in_app,2026-05-24 10:00:00,1,1
RCT000000008,RC0007,U0000716,push,2026-06-26 11:00:00,1,0
RCT000000009,RC0022,U0010554,in_app,2026-05-25 14:00:00,1,1
RCT000000010,RC0011,U0001718,sms,2026-07-12 14:00:00,1,0
RCT000000011,RC0010,U0003600,push,2026-03-13 17:00:00,1,0
RCT000000012,RC0023,U0009804,sms,2026-05-28 20:00:00,1,1
RCT000000013,RC0015,U0009378,push,2026-04-22 13:00:00,1,0
RCT000000014,RC0010,U0011597,push,2026-03-17 18:00:00,1,0
RCT000000015,RC0007,U0009025,push,2026-06-27 14:00:00,1,0
RCT000000016,RC0019,U0005669,sms,2026-06-25 20:00:00,1,0
RCT000000017,RC0021,U0005167,in_app,2026-04-14 15:00:00,1,0
RCT000000018,RC0024,U0000438,push,2026-06-05 12:00:00,1,0
RCT000000019,RC0004,U0010087,in_app,2026-02-02 10:00:00,1,0
RCT000000020,RC0002,U0004846,push,2026-06-16 12:00:00,1,1
RCT000000021,RC0001,U0010848,push,2026-07-29 16:00:00,1,0
RCT000000022,RC0017,U0003302,sms,2026-04-14 10:00:00,1,1
RCT000000023,RC0010,U0011793,push,2026-03-13 15:00:00,1,1
RCT000000024,RC0013,U0004587,push,2026-02-14 12:00:00,1,0
RCT000000025,RC0002,U0002262,push,2026-06-14 18:00:00,1,0
RCT000000026,RC0024,U0004125,push,2026-06-08 18:00:00,1,0
RCT000000027,RC0024,U0009454,push,2026-06-09 19:00:00,1,1
RCT000000028,RC0002,U0001949,push,2026-06-13 08:00:00,1,0
RCT000000029,RC0002,U0006212,push,2026-06-16 18:00:00,1,0
RCT000000030,RC0007,U0003850,push,2026-06-28 17:00:00,1,0
RCT000000031,RC0023,U0004211,sms,2026-05-30 21:00:00,1,0
RCT000000032,RC0020,U0006903,push,2026-05-26 17:00:00,1,0
RCT000000033,RC0020,U0001534,push,2026-05-30 09:00:00,0,0
RCT000000034,RC0018,U0011857,push,2026-02-14 12:00:00,1,0
RCT000000035,RC0024,U0011029,push,2026-06-05 21:00:00,1,1
RCT000000036,RC0007,U0007131,push,2026-06-28 15:00:00,1,0
RCT000000037,RC0012,U0000871,push,2026-03-03 15:00:00,1,0
RCT000000038,RC0024,U0001485,push,2026-06-04 10:00:00,1,0
RCT000000039,RC0002,U0000067,push,2026-06-14 17:00:00,1,0
RCT000000040,RC0012,U0007253,push,2026-03-04 21:00:00,1,1
RCT000000041,RC0024,U0003132,push,2026-06-10 14:00:00,1,0
RCT000000042,RC0004,U0004762,in_app,2026-02-02 12:00:00,1,0
RCT000000043,RC0010,U0004478,push,2026-03-13 13:00:00,1,0
RCT000000044,RC0007,U0011087,push,2026-06-25 17:00:00,1,0
RCT000000045,RC0011,U0000760,sms,2026-07-13 16:00:00,1,0
RCT000000046,RC0008,U0008700,push,2026-06-26 20:00:00,1,0
RCT000000047,RC0013,U0004099,push,2026-02-16 15:00:00,0,0
RCT000000048,RC0018,U0008999,push,2026-02-12 21:00:00,1,0
RCT000000049,RC0001,U0008221,push,2026-08-01 19:00:00,1,0
RCT000000050,RC0015,U0010026,push,2026-04-27 17:00:00,1,1
RCT000000051,RC0002,U0002301,push,2026-06-19 08:00:00,1,0
RCT000000052,RC0006,U0006572,in_app,2026-02-20 16:00:00,1,0
RCT000000053,RC0024,U0009198,push,2026-06-04 08:00:00,1,0
RCT000000054,RC0009,U0011608,sms,2026-05-06 14:00:00,1,0
RCT000000055,RC0003,U0011782,push,2026-02-12 21:00:00,1,0
RCT000000056,RC0010,U0002031,push,2026-03-17 20:00:00,1,1
RCT000000057,RC0013,U0001091,push,2026-02-15 17:00:00,1,0
RCT000000058,RC0018,U0006251,push,2026-02-09 14:00:00,1,0
RCT000000059,RC0007,U0005925,push,2026-06-26 19:00:00,1,0
RCT000000060,RC0012,U0008332,push,2026-03-03 08:00:00,1,1
RCT000000061,RC0020,U0000031,push,2026-05-27 10:00:00,1,0
RCT000000062,RC0012,U0011564,push,2026-03-03 10:00:00,1,0
RCT000000063,RC0002,U0010339,push,2026-06-14 08:00:00,1,0
RCT000000064,RC0014,U0010327,push,2026-03-22 21:00:00,1,0
RCT000000065,RC0006,U0001361,in_app,2026-02-19 20:00:00,1,0
RCT000000066,RC0016,U0000720,in_app,2026-02-25 11:00:00,1,0
RCT000000067,RC0015,U0000131,push,2026-04-24 17:00:00,1,0
RCT000000068,RC0007,U0000011,push,2026-06-23 17:00:00,1,0
RCT000000069,RC0007,U0001493,push,2026-06-29 13:00:00,1,0
RCT000000070,RC0002,U0004419,push,2026-06-14 08:00:00,1,1
RCT000000071,RC0019,U0005312,sms,2026-06-26 14:00:00,1,0
RCT000000072,RC0007,U0010091,push,2026-06-29 12:00:00,1,0
RCT000000073,RC0012,U0011252,push,2026-03-04 19:00:00,1,0
RCT000000074,RC0014,U0008077,push,2026-03-25 10:00:00,1,0
RCT000000075,RC0013,U0008572,push,2026-02-14 20:00:00,1,1
RCT000000076,RC0015,U0004861,push,2026-04-22 09:00:00,1,0
RCT000000077,RC0021,U0000378,in_app,2026-04-15 18:00:00,1,0
RCT000000078,RC0017,U0009400,sms,2026-04-13 21:00:00,1,0
RCT000000079,RC0016,U0002538,in_app,2026-02-25 08:00:00,1,1
RCT000000080,RC0004,U0010697,in_app,2026-02-06 12:00:00,1,0
RCT000000081,RC0014,U0010376,push,2026-03-23 14:00:00,1,0
RCT000000082,RC0013,U0000438,push,2026-02-18 08:00:00,1,0
