topic_id,topic_name,topic_type,start_date,end_date,heat_score,topic_status
TOP0001,平台热点话题001,娱乐,2026-04-09,2026-04-20,95740,ended
TOP0002,平台热点话题002,平台活动,2026-02-21,2026-02-23,89257,ended
TOP0003,平台热点话题003,社会热点,2026-07-05,2026-07-09,42847,ended
TOP0004,平台热点话题004,赛事,2026-04-15,2026-04-21,24655,ended
TOP0005,平台热点话题005,平台活动,2026-02-12,2026-02-23,34712,ended
TOP0006,平台热点话题006,赛事,2026-03-09,2026-03-19,43963,ended
TOP0007,平台热点话题007,娱乐,2026-05-29,2026-06-03,48285,ended
TOP0008,平台热点话题008,平台活动,2026-07-26,2026-07-31,17580,ended
TOP0009,平台热点话题009,社会热点,2026-01-04,2026-01-14,82167,ended
TOP0010,平台热点话题010,娱乐,2026-03-13,2026-03-18,42380,ended
TOP0011,平台热点话题011,平台活动,2026-02-12,2026-02-15,88808,ended
TOP0012,平台热点话题012,社会热点,2026-01-05,2026-01-16,19689,ended
TOP0013,平台热点话题013,节日,2026-02-15,2026-02-27,28464,ended
TOP0014,平台热点话题014,社会热点,2026-01-15,2026-01-23,62081,ended
TOP0015,平台热点话题015,社会热点,2026-04-26,2026-05-01,98343,ended
TOP0016,平台热点话题016,社会热点,2026-05-15,2026-05-22,72850,ended
TOP0017,平台热点话题017,社会热点,2026-03-18,2026-03-27,49760,ended
TOP0018,平台热点话题018,节日,2026-04-07,2026-04-14,86925,ended
TOP0019,平台热点话题019,社会热点,2026-04-12,2026-04-16,90074,ended
TOP0020,平台热点话题020,赛事,2026-03-24,2026-03-26,97532,ended
TOP0021,平台热点话题021,社会热点,2026-07-13,2026-07-19,33810,ended
TOP0022,平台热点话题022,社会热点,2026-01-23,2026-01-25,39922,ended
TOP0023,平台热点话题023,节日,2026-06-13,2026-06-21,96196,ended
TOP0024,平台热点话题024,节日,2026-05-18,2026-05-22,38476,ended
TOP0025,平台热点话题025,社会热点,2026-07-04,2026-07-09,31060,ended
TOP0026,平台热点话题026,平台活动,2026-06-06,2026-06-08,64743,ended
TOP0027,平台热点话题027,节日,2026-04-01,2026-04-07,61277,ended
TOP0028,平台热点话题028,社会热点,2026-01-24,2026-02-01,79388,ended
TOP0029,平台热点话题029,娱乐,2026-05-24,2026-06-02,52098,ended
TOP0030,平台热点话题030,社会热点,2026-07-28,2026-07-31,97658,ended
TOP0031,平台热点话题031,娱乐,2026-08-01,2026-08-08,65400,ended
TOP0032,平台热点话题032,社会热点,2026-06-27,2026-07-05,47678,ended
TOP0033,平台热点话题033,赛事,2026-02-13,2026-02-18,18181,ended
TOP0034,平台热点话题034,社会热点,2026-03-19,2026-03-28,35494,ended
TOP0035,平台热点话题035,社会热点,2026-03-27,2026-04-08,30468,ended
TOP0036,平台热点话题036,社会热点,2026-06-26,2026-06-29,78859,ended
TOP0037,平台热点话题037,赛事,2026-07-15,2026-07-22,97721,ended
TOP0038,平台热点话题038,平台活动,2026-04-28,2026-05-08,35609,ended
TOP0039,平台热点话题039,赛事,2026-02-13,2026-02-19,78904,ended
TOP0040,平台热点话题040,节日,2026-02-09,2026-02-15,38763,ended
TOP0041,平台热点话题041,平台活动,2026-04-10,2026-04-19,73728,ended
TOP0042,平台热点话题042,社会热点,2026-04-29,2026-05-03,75295,ended
TOP0043,平台热点话题043,娱乐,2026-04-17,2026-04-24,73702,ended
TOP0044,平台热点话题044,娱乐,2026-06-01,2026-06-11,54187,ended
TOP0045,平台热点话题045,节日,2026-05-04,2026-05-10,73278,ended
TOP0046,平台热点话题046,社会热点,2026-05-11,2026-05-19,61108,ended
TOP0047,平台热点话题047,平台活动,2026-05-31,2026-06-08,30896,ended
TOP0048,平台热点话题048,平台活动,2026-04-06,2026-04-09,89084,ended
TOP0049,平台热点话题049,社会热点,2026-03-05,2026-03-10,39705,ended
TOP0050,平台热点话题050,赛事,2026-05-23,2026-06-04,39369,ended
TOP0051,平台热点话题051,社会热点,2026-07-11,2026-07-21,42582,ended
TOP0052,平台热点话题052,平台活动,2026-04-17,2026-04-21,42904,ended
TOP0053,平台热点话题053,社会热点,2026-04-26,2026-05-02,15619,ended
TOP0054,平台热点话题054,平台活动,2026-05-09,2026-05-11,49098,ended
TOP0055,平台热点话题055,娱乐,2026-05-08,2026-05-18,29716,ended
TOP0056,平台热点话题056,节日,2026-08-07,2026-08-11,70917,ended
TOP0057,平台热点话题057,平台活动,2026-02-26,2026-03-09,14434,ended
TOP0058,平台热点话题058,平台活动,2026-03-23,2026-03-30,73694,ended
