activation_id,registration_id,user_id,is_activated,activated_at,activation_seconds,activation_rule
ACT00000001,REG00000001,U0000001,1,2026-08-23 07:07:01,1800,观看满5分钟
ACT00000002,REG00000002,U0000002,1,2026-05-04 00:45:27,11820,观看3条视频
ACT00000003,REG00000003,U0000003,1,2026-06-01 05:08:48,19080,观看3条视频
ACT00000004,REG00000004,U0000004,1,2026-01-15 19:27:57,19380,观看满5分钟
ACT00000005,REG00000005,U0000005,1,2026-04-28 01:49:45,11520,观看满5分钟
ACT00000006,REG00000006,U0000006,1,2026-07-08 17:44:57,36360,观看满5分钟
ACT00000007,REG00000007,U0000007,0,,,未达到激活条件
ACT00000008,REG00000008,U0000008,0,,,未达到激活条件
ACT00000009,REG00000009,U0000009,0,,,未达到激活条件
ACT00000010,REG00000010,U0000010,1,2026-08-06 05:05:12,10800,完成首次互动
ACT00000011,REG00000011,U0000011,0,,,未达到激活条件
ACT00000012,REG00000012,U0000012,1,2026-01-08 22:14:56,20280,观看满5分钟
ACT00000013,REG00000013,U0000013,1,2026-01-10 01:55:37,29340,观看3条视频
ACT00000014,REG00000014,U0000014,1,2026-02-08 14:04:32,4680,观看满5分钟
ACT00000015,REG00000015,U0000015,1,2026-06-06 16:13:50,24840,完成首次互动
ACT00000016,REG00000016,U0000016,1,2026-07-11 19:33:31,18000,观看3条视频
ACT00000017,REG00000017,U0000017,1,2026-05-14 05:41:11,28440,完成首次互动
ACT00000018,REG00000018,U0000018,1,2026-03-23 22:18:20,9600,观看3条视频
ACT00000019,REG00000019,U0000019,0,,,未达到激活条件
ACT00000020,REG00000020,U0000020,0,,,未达到激活条件
ACT00000021,REG00000021,U0000021,1,2026-03-30 19:10:30,3240,观看满5分钟
ACT00000022,REG00000022,U0000022,1,2026-08-16 05:39:39,41520,观看3条视频
ACT00000023,REG00000023,U0000023,1,2026-05-04 21:57:56,28020,完成首次互动
ACT00000024,REG00000024,U0000024,0,,,未达到激活条件
ACT00000025,REG00000025,U0000025,1,2026-08-22 13:25:02,8700,观看满5分钟
ACT00000026,REG00000026,U0000026,1,2026-08-19 13:29:56,21660,观看满5分钟
ACT00000027,REG00000027,U0000027,1,2026-07-11 05:49:47,35520,观看3条视频
ACT00000028,REG00000028,U0000028,1,2026-04-20 12:04:54,35400,完成首次互动
ACT00000029,REG00000029,U0000029,1,2026-08-12 15:24:34,3060,观看3条视频
ACT00000030,REG00000030,U0000030,1,2026-04-20 11:01:48,6780,观看满5分钟
ACT00000031,REG00000031,U0000031,0,,,未达到激活条件
ACT00000032,REG00000032,U0000032,1,2026-06-24 09:47:57,34620,观看满5分钟
ACT00000033,REG00000033,U0000033,0,,,未达到激活条件
ACT00000034,REG00000034,U0000034,1,2026-05-26 01:23:33,4260,观看3条视频
ACT00000035,REG00000035,U0000035,1,2026-08-04 17:04:40,22020,观看满5分钟
ACT00000036,REG00000036,U0000036,1,2026-07-17 21:07:33,11100,观看3条视频
ACT00000037,REG00000037,U0000037,0,,,未达到激活条件
ACT00000038,REG00000038,U0000038,1,2026-01-29 11:52:34,33120,完成首次互动
ACT00000039,REG00000039,U0000039,0,,,未达到激活条件
ACT00000040,REG00000040,U0000040,1,2026-01-31 03:02:32,12240,观看3条视频
ACT00000041,REG00000041,U0000041,1,2026-03-25 19:08:06,35760,完成首次互动
ACT00000042,REG00000042,U0000042,1,2026-01-14 09:54:16,31140,观看3条视频
ACT00000043,REG00000043,U0000043,0,,,未达到激活条件
ACT00000044,REG00000044,U0000044,0,,,未达到激活条件
ACT00000045,REG00000045,U0000045,1,2026-01-12 07:28:27,42720,观看满5分钟
ACT00000046,REG00000046,U0000046,1,2026-07-05 17:23:36,42840,观看满5分钟
ACT00000047,REG00000047,U0000047,1,2026-08-03 00:10:17,7320,观看3条视频
ACT00000048,REG00000048,U0000048,1,2026-01-14 23:54:48,20940,观看满5分钟
ACT00000049,REG00000049,U0000049,1,2026-08-24 22:28:41,14340,完成首次互动
ACT00000050,REG00000050,U0000050,1,2026-02-18 20:27:30,2160,观看满5分钟
ACT00000051,REG00000051,U0000051,1,2026-01-24 19:21:40,24600,观看满5分钟
ACT00000052,REG00000052,U0000052,1,2026-08-08 12:27:02,40860,观看满5分钟
ACT00000053,REG00000053,U0000053,1,2026-05-22 18:07:03,25320,观看满5分钟
ACT00000054,REG00000054,U0000054,1,2026-05-07 12:59:11,20280,完成首次互动
ACT00000055,REG00000055,U0000055,1,2026-02-17 03:28:38,1200,观看3条视频
ACT00000056,REG00000056,U0000056,1,2026-01-23 21:20:59,33180,观看满5分钟
ACT00000057,REG00000057,U0000057,0,,,未达到激活条件
ACT00000058,REG00000058,U0000058,1,2026-01-17 07:04:38,4920,观看3条视频
ACT00000059,REG00000059,U0000059,1,2026-08-21 11:24:47,40620,完成首次互动
ACT00000060,REG00000060,U0000060,1,2026-07-05 17:16:08,30600,观看3条视频
ACT00000061,REG00000061,U0000061,1,2026-06-24 02:56:29,12420,观看满5分钟
ACT00000062,REG00000062,U0000062,1,2026-05-26 12:51:01,32940,观看3条视频
ACT00000063,REG00000063,U0000063,1,2026-04-26 00:27:39,15000,观看满5分钟
ACT00000064,REG00000064,U0000064,1,2026-01-29 13:13:11,3060,完成首次互动
ACT00000065,REG00000065,U0000065,1,2026-01-09 10:46:14,5940,完成首次互动
