churn_event_id,user_id,identified_date,churn_level,inactive_days,churn_reason
CHURN00000001,U0000002,2026-08-28,medium,18,连续未登录
CHURN00000002,U0000004,2026-08-28,high,51,连续未登录
CHURN00000003,U0000005,2026-08-28,medium,8,活跃频次下降
CHURN00000004,U0000007,2026-08-28,high,119,连续未登录
CHURN00000005,U0000011,2026-08-28,medium,10,观看时长下降
CHURN00000006,U0000012,2026-08-28,medium,12,连续未登录
CHURN00000007,U0000013,2026-08-28,medium,11,观看时长下降
CHURN00000008,U0000015,2026-08-28,high,59,活跃频次下降
CHURN00000009,U0000018,2026-08-28,high,37,连续未登录
CHURN00000010,U0000019,2026-08-28,medium,26,连续未登录
CHURN00000011,U0000020,2026-08-28,high,59,连续未登录
CHURN00000012,U0000021,2026-08-28,high,106,观看时长下降
CHURN00000013,U0000023,2026-08-28,medium,30,连续未登录
CHURN00000014,U0000024,2026-08-28,high,76,观看时长下降
CHURN00000015,U0000027,2026-08-28,medium,9,观看时长下降
CHURN00000016,U0000028,2026-08-28,high,98,连续未登录
CHURN00000017,U0000030,2026-08-28,medium,14,连续未登录
CHURN00000018,U0000031,2026-08-28,high,82,活跃频次下降
CHURN00000019,U0000033,2026-08-28,high,124,活跃频次下降
CHURN00000020,U0000036,2026-08-28,medium,10,观看时长下降
CHURN00000021,U0000037,2026-08-28,medium,10,活跃频次下降
CHURN00000022,U0000038,2026-08-28,medium,17,连续未登录
CHURN00000023,U0000039,2026-08-28,high,63,连续未登录
CHURN00000024,U0000040,2026-08-28,medium,26,活跃频次下降
CHURN00000025,U0000042,2026-08-28,high,39,活跃频次下降
CHURN00000026,U0000043,2026-08-28,high,155,活跃频次下降
CHURN00000027,U0000044,2026-08-28,high,148,活跃频次下降
CHURN00000028,U0000045,2026-08-28,medium,9,活跃频次下降
CHURN00000029,U0000048,2026-08-28,high,55,活跃频次下降
CHURN00000030,U0000050,2026-08-28,medium,10,活跃频次下降
CHURN00000031,U0000051,2026-08-28,medium,14,活跃频次下降
CHURN00000032,U0000054,2026-08-28,high,65,活跃频次下降
CHURN00000033,U0000056,2026-08-28,medium,14,活跃频次下降
CHURN00000034,U0000057,2026-08-28,high,71,连续未登录
CHURN00000035,U0000058,2026-08-28,high,88,连续未登录
CHURN00000036,U0000060,2026-08-28,medium,12,连续未登录
CHURN00000037,U0000062,2026-08-28,medium,23,观看时长下降
CHURN00000038,U0000064,2026-08-28,high,47,连续未登录
CHURN00000039,U0000065,2026-08-28,medium,19,连续未登录
CHURN00000040,U0000067,2026-08-28,high,42,观看时长下降
CHURN00000041,U0000068,2026-08-28,medium,11,活跃频次下降
CHURN00000042,U0000069,2026-08-28,high,70,观看时长下降
CHURN00000043,U0000071,2026-08-28,medium,14,连续未登录
CHURN00000044,U0000073,2026-08-28,high,32,连续未登录
CHURN00000045,U0000074,2026-08-28,medium,11,活跃频次下降
CHURN00000046,U0000078,2026-08-28,high,77,连续未登录
CHURN00000047,U0000079,2026-08-28,high,58,连续未登录
CHURN00000048,U0000083,2026-08-28,medium,19,活跃频次下降
CHURN00000049,U0000085,2026-08-28,medium,29,连续未登录
CHURN00000050,U0000087,2026-08-28,medium,14,连续未登录
CHURN00000051,U0000088,2026-08-28,medium,19,活跃频次下降
CHURN00000052,U0000089,2026-08-28,high,34,观看时长下降
CHURN00000053,U0000090,2026-08-28,medium,16,观看时长下降
CHURN00000054,U0000095,2026-08-28,high,48,连续未登录
CHURN00000055,U0000096,2026-08-28,medium,17,活跃频次下降
CHURN00000056,U0000097,2026-08-28,high,34,连续未登录
CHURN00000057,U0000098,2026-08-28,medium,15,活跃频次下降
