activity_id,user_id,activity_date,active_minutes,session_count,play_count,interaction_count,is_valid_active
DA0000000001,U0000001,2026-08-23,58,5,70,9,1
DA0000000002,U0000001,2026-08-24,21,4,53,5,1
DA0000000003,U0000001,2026-08-25,5,1,10,0,1
DA0000000004,U0000001,2026-08-26,54,3,102,11,1
DA0000000005,U0000001,2026-08-27,21,1,34,2,1
DA0000000006,U0000001,2026-08-28,53,1,75,8,1
DA0000000007,U0000002,2026-05-06,28,2,43,1,1
DA0000000008,U0000002,2026-05-10,37,1,62,7,1
DA0000000009,U0000002,2026-05-17,54,3,136,9,1
DA0000000010,U0000002,2026-07-31,31,1,36,5,1
DA0000000011,U0000002,2026-08-10,58,3,124,9,1
DA0000000012,U0000003,2026-05-31,27,2,52,5,1
DA0000000013,U0000003,2026-06-01,19,5,34,5,1
DA0000000014,U0000003,2026-06-18,54,1,121,7,1
DA0000000015,U0000003,2026-06-22,44,4,104,17,1
DA0000000016,U0000003,2026-07-09,42,1,61,3,1
DA0000000017,U0000003,2026-07-20,36,1,51,2,1
DA0000000018,U0000003,2026-07-24,46,2,70,8,1
DA0000000019,U0000003,2026-07-25,31,3,49,6,1
DA0000000020,U0000003,2026-07-30,18,1,22,2,1
DA0000000021,U0000003,2026-07-31,39,6,72,9,1
DA0000000022,U0000003,2026-08-08,57,2,72,7,1
DA0000000023,U0000003,2026-08-20,29,2,69,8,1
DA0000000024,U0000003,2026-08-22,24,1,27,4,1
DA0000000025,U0000004,2026-01-16,17,1,41,1,1
DA0000000026,U0000004,2026-02-02,10,2,14,1,1
DA0000000027,U0000004,2026-02-11,22,3,45,6,1
DA0000000028,U0000004,2026-03-26,78,1,172,24,1
DA0000000029,U0000004,2026-04-21,54,1,132,5,1
DA0000000030,U0000004,2026-05-07,25,2,51,7,1
DA0000000031,U0000004,2026-05-12,34,2,87,13,1
DA0000000032,U0000004,2026-05-13,5,4,12,0,1
DA0000000033,U0000004,2026-05-14,42,4,62,8,1
DA0000000034,U0000004,2026-07-08,24,1,48,3,1
DA0000000035,U0000005,2026-04-29,15,2,24,3,1
DA0000000036,U0000005,2026-05-04,60,2,94,8,1
DA0000000037,U0000005,2026-05-06,36,2,53,8,1
DA0000000038,U0000005,2026-05-17,45,1,99,9,1
DA0000000039,U0000005,2026-05-27,27,3,53,3,1
DA0000000040,U0000005,2026-05-29,22,1,25,0,1
DA0000000041,U0000005,2026-06-09,44,1,101,6,1
DA0000000042,U0000005,2026-07-23,58,1,104,8,1
DA0000000043,U0000005,2026-08-05,26,1,34,0,1
DA0000000044,U0000005,2026-08-07,50,1,64,3,1
DA0000000045,U0000005,2026-08-20,12,2,30,3,1
DA0000000046,U0000006,2026-07-15,36,4,61,7,1
DA0000000047,U0000006,2026-07-17,59,1,89,15,1
DA0000000048,U0000006,2026-07-24,19,1,37,3,1
DA0000000049,U0000006,2026-07-26,40,1,47,2,1
DA0000000050,U0000006,2026-07-30,51,1,70,10,1
DA0000000051,U0000006,2026-08-01,65,6,114,6,1
DA0000000052,U0000006,2026-08-02,27,1,60,7,1
DA0000000053,U0000006,2026-08-04,19,1,41,2,1
DA0000000054,U0000006,2026-08-07,33,1,59,9,1
DA0000000055,U0000006,2026-08-09,31,1,57,3,1
DA0000000056,U0000006,2026-08-11,22,3,52,7,1
DA0000000057,U0000006,2026-08-13,7,2,15,0,1
DA0000000058,U0000006,2026-08-20,104,1,181,5,1
DA0000000059,U0000006,2026-08-24,48,6,80,13,1
DA0000000060,U0000006,2026-08-28,2,1,2,0,0
DA0000000061,U0000007,2026-04-15,41,2,73,12,1
DA0000000062,U0000007,2026-04-28,24,2,51,5,1
DA0000000063,U0000007,2026-05-01,44,2,56,2,1
DA0000000064,U0000008,2026-07-03,50,3,87,2,1
DA0000000065,U0000008,2026-07-07,22,2,49,6,1
DA0000000066,U0000008,2026-08-20,9,4,11,0,1
DA0000000067,U0000008,2026-08-26,59,1,98,11,1
DA0000000068,U0000009,2026-07-10,24,1,57,9,1
DA0000000069,U0000009,2026-07-12,35,3,76,8,1
DA0000000070,U0000009,2026-07-16,38,1,80,6,1
DA0000000071,U0000009,2026-08-08,25,2,50,3,1
DA0000000072,U0000009,2026-08-23,18,1,26,3,1
DA0000000073,U0000010,2026-08-10,40,1,96,3,1
DA0000000074,U0000010,2026-08-11,11,6,21,1,1
DA0000000075,U0000010,2026-08-12,9,1,20,0,1
DA0000000076,U0000010,2026-08-14,24,1,32,3,1
DA0000000077,U0000010,2026-08-15,47,2,59,9,1
DA0000000078,U0000010,2026-08-19,13,1,31,2,1
DA0000000079,U0000010,2026-08-25,27,3,57,7,1
DA0000000080,U0000010,2026-08-26,31,1,68,8,1
DA0000000081,U0000010,2026-08-27,17,5,30,4,1
DA0000000082,U0000011,2026-02-13,15,1,38,1,1
DA0000000083,U0000011,2026-07-08,18,2,31,3,1
DA0000000084,U0000011,2026-08-12,29,4,53,8,1
DA0000000085,U0000011,2026-08-18,86,1,179,26,1
DA0000000086,U0000012,2026-01-08,6,1,13,1,1
DA0000000087,U0000012,2026-01-09,17,2,33,3,1
DA0000000088,U0000012,2026-01-31,23,2,54,7,1
DA0000000089,U0000012,2026-02-07,15,1,17,2,1
DA0000000090,U0000012,2026-03-15,55,2,127,18,1
DA0000000091,U0000012,2026-05-10,13,1,31,5,1
DA0000000092,U0000012,2026-05-21,34,2,71,2,1
DA0000000093,U0000012,2026-05-31,33,3,69,3,1
DA0000000094,U0000012,2026-07-16,24,1,60,2,1
DA0000000095,U0000012,2026-08-16,38,3,96,6,1
DA0000000096,U0000013,2026-01-12,54,4,135,13,1
DA0000000097,U0000013,2026-01-16,12,1,22,2,1
DA0000000098,U0000013,2026-01-19,20,1,35,1,1
DA0000000099,U0000013,2026-01-23,26,1,65,7,1
DA0000000100,U0000013,2026-02-11,70,1,177,20,1
DA0000000101,U0000013,2026-02-23,30,1,40,3,1
DA0000000102,U0000013,2026-03-03,31,2,60,2,1
DA0000000103,U0000013,2026-03-09,19,2,24,1,1
DA0000000104,U0000013,2026-04-18,53,1,77,5,1
DA0000000105,U0000013,2026-04-28,27,2,42,2,1
DA0000000106,U0000013,2026-05-07,44,2,76,1,1
DA0000000107,U0000013,2026-08-01,5,2,10,1,1
DA0000000108,U0000013,2026-08-11,22,3,30,3,1
DA0000000109,U0000013,2026-08-15,19,1,31,5,1
DA0000000110,U0000013,2026-08-17,32,1,66,6,1
DA0000000111,U0000014,2026-02-11,26,1,37,0,1
DA0000000112,U0000014,2026-02-15,30,3,68,2,1
DA0000000113,U0000014,2026-02-27,30,3,50,7,1
DA0000000114,U0000014,2026-03-10,21,4,42,5,1
DA0000000115,U0000014,2026-03-22,41,1,102,4,1
DA0000000116,U0000014,2026-04-02,32,4,69,2,1
DA0000000117,U0000014,2026-04-16,55,2,99,2,1
DA0000000118,U0000014,2026-05-15,20,2,25,2,1
DA0000000119,U0000014,2026-05-22,74,1,130,16,1
DA0000000120,U0000014,2026-05-31,19,2,30,3,1
DA0000000121,U0000014,2026-07-14,19,4,47,5,1
DA0000000122,U0000014,2026-07-16,34,1,47,3,1
DA0000000123,U0000014,2026-08-25,99,3,139,15,1
DA0000000124,U0000015,2026-06-30,6,1,14,2,1
DA0000000125,U0000016,2026-07-12,27,2,31,1,1
DA0000000126,U0000016,2026-07-14,43,1,98,2,1
DA0000000127,U0000016,2026-07-15,58,1,87,9,1
DA0000000128,U0000016,2026-07-18,7,1,13,1,1
DA0000000129,U0000016,2026-07-25,19,1,42,5,1
DA0000000130,U0000016,2026-08-01,101,7,189,4,1
DA0000000131,U0000016,2026-08-03,23,4,53,4,1
DA0000000132,U0000016,2026-08-09,16,3,21,2,1
