device_id,user_id,device_type,device_level,app_version,first_seen_at
D00000001,U0000001,Android,高端机,9.8.0,2026-08-23 06:37:01
D00000002,U0000001,Android,中端机,9.5.0,2026-08-23 06:37:01
D00000003,U0000002,Android,高端机,9.5.0,2026-05-03 21:28:27
D00000004,U0000003,Android,中端机,9.8.0,2026-05-31 23:50:48
D00000005,U0000004,iOS,高端机,9.7.0,2026-01-15 14:04:57
D00000006,U0000005,Android,中端机,9.8.0,2026-04-27 22:37:45
D00000007,U0000006,Android,高端机,9.6.0,2026-07-08 07:38:57
D00000008,U0000007,iOS,入门机,9.7.0,2026-04-14 06:45:15
D00000009,U0000008,iOS,中端机,9.8.0,2026-06-30 14:37:13
D00000010,U0000009,iOS,高端机,9.8.0,2026-07-09 08:30:43
D00000011,U0000010,iOS,中端机,9.7.0,2026-08-06 02:05:12
D00000012,U0000010,iOS,入门机,9.6.0,2026-08-06 02:05:12
D00000013,U0000011,iOS,中端机,9.8.0,2026-01-30 18:37:40
D00000014,U0000012,iOS,中端机,9.5.0,2026-01-08 16:36:56
D00000015,U0000013,Android,高端机,9.8.0,2026-01-09 17:46:37
D00000016,U0000013,Android,中端机,9.7.0,2026-01-09 17:46:37
D00000017,U0000014,iOS,入门机,9.7.0,2026-02-08 12:46:32
D00000018,U0000015,iOS,中端机,9.8.0,2026-06-06 09:19:50
D00000019,U0000016,Android,中端机,9.8.0,2026-07-11 14:33:31
D00000020,U0000017,Android,入门机,9.8.0,2026-05-13 21:47:11
D00000021,U0000018,Android,中端机,9.8.0,2026-03-23 19:38:20
D00000022,U0000019,Android,中端机,9.8.0,2026-06-14 09:28:56
D00000023,U0000020,Android,中端机,9.8.0,2026-06-30 15:19:09
D00000024,U0000020,Android,中端机,9.8.0,2026-06-30 15:19:09
D00000025,U0000021,iOS,中端机,9.6.0,2026-03-30 18:16:30
D00000026,U0000021,iOS,中端机,9.8.0,2026-03-30 18:16:30
D00000027,U0000022,Android,中端机,9.7.0,2026-08-15 18:07:39
D00000028,U0000023,Android,入门机,9.8.0,2026-05-04 14:10:56
D00000029,U0000024,Android,入门机,9.5.0,2026-02-15 02:24:07
D00000030,U0000025,Android,入门机,9.8.0,2026-08-22 11:00:02
D00000031,U0000026,Android,高端机,9.8.0,2026-08-19 07:28:56
D00000032,U0000026,Android,中端机,9.7.0,2026-08-19 07:28:56
D00000033,U0000027,iOS,中端机,9.8.0,2026-07-10 19:57:47
D00000034,U0000028,Android,入门机,9.8.0,2026-04-20 02:14:54
D00000035,U0000029,Android,入门机,9.7.0,2026-08-12 14:33:34
D00000036,U0000030,iOS,高端机,9.8.0,2026-04-20 09:08:48
D00000037,U0000031,Android,高端机,9.7.0,2026-05-30 22:29:32
D00000038,U0000031,Android,高端机,9.6.0,2026-05-30 22:29:32
D00000039,U0000032,Android,中端机,9.8.0,2026-06-24 00:10:57
D00000040,U0000033,Android,中端机,9.8.0,2026-02-10 15:32:28
D00000041,U0000034,iOS,中端机,9.8.0,2026-05-26 00:12:33
D00000042,U0000034,iOS,高端机,9.7.0,2026-05-26 00:12:33
D00000043,U0000035,Android,中端机,9.6.0,2026-08-04 10:57:40
D00000044,U0000036,iOS,中端机,9.7.0,2026-07-17 18:02:33
D00000045,U0000037,iOS,入门机,9.7.0,2026-07-31 13:26:42
D00000046,U0000038,iOS,中端机,9.7.0,2026-01-29 02:40:34
D00000047,U0000039,iOS,高端机,9.7.0,2026-03-03 14:58:13
D00000048,U0000040,iOS,中端机,9.5.0,2026-01-30 23:38:32
D00000049,U0000041,iOS,入门机,9.7.0,2026-03-25 09:12:06
D00000050,U0000042,Android,中端机,9.7.0,2026-01-14 01:15:16
D00000051,U0000043,iOS,入门机,9.6.0,2026-03-26 18:11:06
D00000052,U0000044,Android,入门机,9.8.0,2026-03-30 02:03:24
D00000053,U0000045,iOS,入门机,9.7.0,2026-01-11 19:36:27
D00000054,U0000046,iOS,中端机,9.8.0,2026-07-05 05:29:36
D00000055,U0000046,iOS,高端机,9.7.0,2026-07-05 05:29:36
