snapshot_id,user_id,snapshot_date,lifecycle_stage,active_days,days_since_last_active,engagement_score
LCS00000001,U0000001,2026-08-28,新用户,6,0,0.4435
LCS00000002,U0000002,2026-08-28,沉默用户,5,18,0.4049
LCS00000003,U0000003,2026-08-28,活跃用户,13,6,0.2308
LCS00000004,U0000004,2026-08-28,流失用户,10,51,0.3853
LCS00000005,U0000005,2026-08-28,沉默用户,11,8,0.3813
LCS00000006,U0000006,2026-08-28,活跃用户,15,0,0.4004
LCS00000007,U0000007,2026-08-28,流失用户,3,119,0.4072
LCS00000008,U0000008,2026-08-28,活跃用户,4,2,0.3254
LCS00000009,U0000009,2026-08-28,活跃用户,5,5,0.2501
LCS00000010,U0000010,2026-08-28,活跃用户,9,1,0.2923
LCS00000011,U0000011,2026-08-28,沉默用户,4,10,0.2996
LCS00000012,U0000012,2026-08-28,沉默用户,10,12,0.2522
LCS00000013,U0000013,2026-08-28,沉默用户,15,11,0.3063
LCS00000014,U0000014,2026-08-28,活跃用户,13,3,0.4859
LCS00000015,U0000015,2026-08-28,流失用户,1,59,0.1523
LCS00000016,U0000016,2026-08-28,活跃用户,9,5,0.5202
LCS00000017,U0000017,2026-08-28,活跃用户,7,4,0.4179
LCS00000018,U0000018,2026-08-28,流失用户,3,37,0.2196
LCS00000019,U0000019,2026-08-28,沉默用户,1,26,0.05
LCS00000020,U0000020,2026-08-28,流失用户,0,59,0.3143
LCS00000021,U0000021,2026-08-28,流失用户,6,106,0.1692
LCS00000022,U0000022,2026-08-28,活跃用户,8,1,0.3329
LCS00000023,U0000023,2026-08-28,沉默用户,9,30,0.6141
LCS00000024,U0000024,2026-08-28,流失用户,2,76,0.187
LCS00000025,U0000025,2026-08-28,新用户,6,0,0.3139
LCS00000026,U0000026,2026-08-28,活跃用户,5,2,0.1379
LCS00000027,U0000027,2026-08-28,沉默用户,7,9,0.3184
LCS00000028,U0000028,2026-08-28,流失用户,3,98,0.3696
LCS00000029,U0000029,2026-08-28,活跃用户,12,1,0.488
LCS00000030,U0000030,2026-08-28,沉默用户,11,14,0.4646
LCS00000031,U0000031,2026-08-28,流失用户,1,82,0.2398
LCS00000032,U0000032,2026-08-28,活跃用户,11,5,0.1878
LCS00000033,U0000033,2026-08-28,流失用户,2,124,0.1939
LCS00000034,U0000034,2026-08-28,活跃用户,5,0,0.5168
LCS00000035,U0000035,2026-08-28,活跃用户,8,6,0.2865
LCS00000036,U0000036,2026-08-28,沉默用户,7,10,0.3909
LCS00000037,U0000037,2026-08-28,沉默用户,3,10,0.2402
LCS00000038,U0000038,2026-08-28,沉默用户,9,17,0.4695
